,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:16:57.730174,1.0,0.8682405419495641,0.7674085006117821,0.268,0.3944,0.0,0.0,0.00606,0.0248,0.0,0.0,0.0819,0.184,0.02326,0.0688,428.17242384930046,4371.955212402344
2023-08-22 10:18:58.077735,2.0,0.7685328877093841,0.7183885797858238,0.37894,0.4294,0.0,0.0,0.02414,0.056,0.0,0.0,0.18086,0.2383,0.0712,0.1159,427.5282728234116,4395.851681518555
2023-08-22 10:21:00.073923,3.0,0.7219185300019323,0.6733916997909546,0.42894,0.4862,0.0,0.0,0.04116,0.0505,0.00016,0.0,0.23094,0.2666,0.10478,0.1291,421.47595510677417,4399.56728515625
2023-08-22 10:23:01.032763,4.0,0.7034094205924443,0.6535849645733833,0.44876,0.4963,0.0,0.0,0.05126,0.0842,0.00032,0.0,0.25452,0.3124,0.12274,0.1743,425.289616721017,4380.132262420654
2023-08-22 10:25:02.280689,5.0,0.6854656426882257,0.6398465350270272,0.46272,0.5118,0.0,0.01163753867149353,0.06298,0.1085,0.00048,0.0033,0.27364,0.3389,0.14156,0.2009,424.30227637777523,4414.12663116455
2023-08-22 10:27:04.478525,6.0,0.6683126876548845,0.6241159349679947,0.48414,0.5307,0.0,0.030089810490608215,0.07424,0.1116,0.00072,0.0006,0.29466,0.356,0.15802,0.2151,420.9706473058584,4406.648740386963
2023-08-22 10:29:04.522807,7.0,0.657712351910922,0.6162853434681892,0.49106,0.5321,0.0,0.0346134752035141,0.07924,0.1069,0.00076,0.002,0.30532,0.3551,0.16798,0.2122,428.44771357945035,4387.876358032227
2023-08-22 10:31:05.000650,8.0,0.6417817400426281,0.5978727653622627,0.5071,0.5454,0.0072287023067474365,0.04989124834537506,0.09032,0.1445,0.00128,0.0049,0.32366,0.3793,0.18178,0.2424,426.3890707054917,4418.979521179199
2023-08-22 10:33:05.532969,9.0,0.6319686250419033,0.5919329732656479,0.52034,0.5585,0.021432727575302124,0.06157698482275009,0.09782,0.1303,0.00142,0.0031,0.33706,0.3772,0.19278,0.2291,426.76901626586914,4384.645944976806
2023-08-22 10:35:06.862385,10.0,0.6204121444298296,0.5990967869758606,0.53064,0.5457,0.03263305127620697,0.058877766132354736,0.10668,0.1468,0.0018,0.0067,0.35036,0.3867,0.20392,0.2444,423.9541772336376,4417.192760467529
2023-08-22 10:37:07.563592,11.0,0.6136030916656766,0.5675843611359597,0.53758,0.5776,0.03985592722892761,0.09183323383331299,0.11338,0.1647,0.00214,0.0038,0.35716,0.4071,0.21472,0.2696,427.358088279257,4391.214807128907
2023-08-22 10:39:09.293821,12.0,0.6042754227409557,0.5851276844739914,0.54714,0.5568,0.052877239882946014,0.07083141803741455,0.12076,0.1656,0.00244,0.0034,0.36938,0.4027,0.22258,0.2707,422.67954090663363,4410.188684082032
2023-08-22 10:41:09.541496,13.0,0.6043367942377013,0.5805409237742424,0.54704,0.5719,0.0518658310174942,0.07457855343818665,0.12336,0.1296,0.00272,0.003,0.37018,0.3884,0.22492,0.2381,427.6748161315918,4404.476271820068
2023-08-22 10:43:09.753234,14.0,0.5965392303710081,0.5562428906559944,0.55346,0.5799,0.05834357440471649,0.09665548801422119,0.1265,0.1793,0.00288,0.0049,0.37698,0.4231,0.23184,0.2878,427.7235525481555,4405.15687789917
2023-08-22 10:45:09.814617,15.0,0.5930536605265676,0.5575109705328941,0.55764,0.5919,0.0641428530216217,0.10270822048187256,0.13138,0.1533,0.00364,0.0022,0.37922,0.4194,0.23652,0.2685,428.23744505278916,4378.246687316894
2023-08-22 10:47:11.020097,16.0,0.5858278782392035,0.5489571928977967,0.5647,0.5937,0.07308880984783173,0.11424887925386429,0.13608,0.1706,0.00382,0.0046,0.38996,0.433,0.24388,0.285,424.3117814355967,4403.021099853516
2023-08-22 10:49:10.905378,17.0,0.5790066046982395,0.5509982839226722,0.57108,0.5913,0.0812651515007019,0.11456885933876038,0.13924,0.1909,0.00398,0.0069,0.39722,0.436,0.24864,0.2965,429.21060811256876,4402.223834228515
2023-08-22 10:51:11.074213,18.0,0.5752041698718557,0.5374548599123955,0.57734,0.611,0.08764970302581787,0.132843017578125,0.14414,0.1802,0.00428,0.005,0.40138,0.4444,0.25172,0.2957,428.06642088598136,4406.35665359497
2023-08-22 10:53:11.690262,19.0,0.5713987447777573,0.5593903675675392,0.57822,0.5843,0.08867180347442627,0.0965745598077774,0.14476,0.1709,0.00406,0.007,0.4043,0.4154,0.25654,0.2771,425.85613009394433,4414.89953918457
2023-08-22 10:55:13.011282,20.0,0.5732798013760119,0.5338238298892974,0.57918,0.6145,0.08958086371421814,0.1401980221271515,0.14624,0.1832,0.00402,0.0044,0.40368,0.449,0.25426,0.2951,424.1551603978994,4413.901287078857
2023-08-22 10:57:14.016688,21.0,0.5643723806252285,0.5270829863846302,0.5868,0.6182,0.0985793024301529,0.14479926228523254,0.15132,0.1854,0.00452,0.0069,0.41236,0.4582,0.2629,0.3104,426.09485221395687,4406.803742980957
2023-08-22 10:59:14.368411,22.0,0.5613676902590966,0.5422752425074577,0.58858,0.601,0.1036834716796875,0.12184932827949524,0.15392,0.1897,0.00516,0.0072,0.41844,0.4425,0.26718,0.3002,427.91524832589283,4399.709944152832
2023-08-22 11:01:14.841030,23.0,0.5584757084749183,0.5356874890625477,0.59432,0.6021,0.10832518339157104,0.134647399187088,0.15426,0.2079,0.00488,0.0091,0.41894,0.4508,0.269,0.3173,426.9736894880022,4386.807787322998
2023-08-22 11:03:15.301747,24.0,0.5605893922703606,0.5403609506785869,0.58738,0.5917,0.10259024798870087,0.11979928612709045,0.15536,0.2065,0.00478,0.0124,0.41644,0.4442,0.26864,0.313,427.36816196052393,4411.778623962402
2023-08-22 11:05:17.724921,25.0,0.5538699687743673,0.5227999545633792,0.5984,0.6194,0.1109713539481163,0.15163226425647736,0.16152,0.1862,0.00526,0.0088,0.42444,0.4581,0.2735,0.3048,420.5717181770169,4397.502681732178
2023-08-22 11:07:18.056504,26.0,0.5515971890821749,0.5238636270165443,0.59942,0.624,0.1138828694820404,0.15268158912658691,0.1627,0.1935,0.00524,0.0068,0.427,0.4594,0.27838,0.306,427.0962030838947,4379.083996582031
2023-08-22 11:09:19.859602,27.0,0.547828425558246,0.5271506458520889,0.60496,0.6279,0.12031537294387817,0.14828915894031525,0.16602,0.1726,0.006,0.0034,0.43352,0.4541,0.28168,0.2936,422.7188755736059,4413.049031829834
2023-08-22 11:11:20.309824,28.0,0.5465055512530463,0.5194816201925277,0.60366,0.6176,0.12410306930541992,0.14999020099639893,0.16576,0.2163,0.00592,0.0095,0.43596,0.4634,0.28224,0.331,427.23753271297534,4397.088590240479
2023-08-22 11:13:20.955727,29.0,0.5459091077957835,0.5156527705490589,0.60598,0.6314,0.1234438419342041,0.16801829636096954,0.1671,0.2118,0.00568,0.0092,0.43642,0.4759,0.28298,0.3349,426.38272686393896,4415.171870422363
2023-08-22 11:15:21.447402,30.0,0.5451192227857453,0.5168093562126159,0.6056,0.63,0.12306207418441772,0.15351198613643646,0.16646,0.1972,0.00548,0.0059,0.4362,0.4636,0.28306,0.317,426.96019799368725,4394.045257568359
2023-08-22 11:17:22.005976,31.0,0.543971627190405,0.5143907956779004,0.60594,0.6375,0.12578657269477844,0.16177970170974731,0.16976,0.1893,0.00548,0.0095,0.43796,0.4719,0.2852,0.3094,427.3433485225755,4390.028150939941
2023-08-22 11:19:23.245638,32.0,0.5409668632307831,0.5232513129711152,0.6098,0.6255,0.129285991191864,0.15173788368701935,0.17104,0.186,0.00594,0.0083,0.43878,0.4584,0.28734,0.3026,424.53782560387435,4408.938916015625
2023-08-22 11:21:22.955126,33.0,0.5404426545208815,0.5089894391596317,0.60964,0.6408,0.1280239373445511,0.17186716198921204,0.17028,0.2128,0.00624,0.0071,0.4393,0.4759,0.28722,0.3346,429.5887163123306,4407.101545715332
2023-08-22 11:23:22.837271,34.0,0.540167610408092,0.5202259592711925,0.61062,0.6203,0.12929293513298035,0.15661868453025818,0.17052,0.2071,0.00556,0.0089,0.44008,0.4659,0.28896,0.3223,428.9055828950843,4384.493728637695
2023-08-22 11:25:23.416689,35.0,0.5353577837956195,0.5100427202880382,0.61568,0.6342,0.1352081000804901,0.16519209742546082,0.17418,0.2001,0.00628,0.0058,0.44534,0.4732,0.29346,0.3202,426.483453478132,4402.93394241333
2023-08-22 11:27:23.761337,36.0,0.5317570501748397,0.5126246087253093,0.62024,0.6369,0.14008939266204834,0.1619873344898224,0.17724,0.1925,0.0068,0.0064,0.44916,0.4651,0.29666,0.3125,427.28127771494337,4381.304856109619
2023-08-22 11:29:24.644708,37.0,0.5371840713279588,0.5077747128903866,0.61492,0.6334,0.13491582870483398,0.1727205216884613,0.17486,0.2024,0.00664,0.0064,0.4463,0.4801,0.29306,0.3231,425.3012587099659,4415.12959060669
2023-08-22 11:31:24.889194,38.0,0.5343586883070518,0.5146111786365509,0.6197,0.6279,0.13689322769641876,0.17007535696029663,0.1767,0.223,0.00674,0.0102,0.44718,0.4753,0.29296,0.3353,427.61063081391006,4393.713946533203
2023-08-22 11:33:24.586297,39.0,0.5316215694254759,0.5109066188335418,0.62016,0.6388,0.14033082127571106,0.1658398061990738,0.17906,0.2009,0.00632,0.012,0.4495,0.4739,0.29716,0.3206,430.02638314694775,4387.700460815429
2023-08-22 11:35:24.121748,40.0,0.5330264463412518,0.4984560012817383,0.61934,0.6505,0.1360393613576889,0.18706417083740234,0.17754,0.2135,0.0068,0.0088,0.44566,0.4894,0.29378,0.3351,430.7282591839226,4401.768096923828
2023-08-22 11:37:24.453985,41.0,0.5299281064344912,0.5126201651990414,0.62006,0.634,0.1404520869255066,0.16317135095596313,0.18084,0.2011,0.00668,0.0095,0.45238,0.4669,0.30148,0.3172,428.49332801663144,4391.594410705567
2023-08-22 11:39:25.271296,42.0,0.5264752733768249,0.5031540118157863,0.62304,0.6414,0.1452457159757614,0.1812063455581665,0.18308,0.2167,0.00694,0.0152,0.45422,0.4861,0.3019,0.3367,426.1291254783163,4390.607229614257
2023-08-22 11:41:25.613540,43.0,0.5274663424613525,0.5068016089498997,0.6227,0.646,0.14462512731552124,0.16672685742378235,0.18268,0.2024,0.00664,0.0132,0.45258,0.4731,0.30236,0.3182,427.58685271593987,4385.5080268859865
2023-08-22 11:43:25.633004,44.0,0.5283864820185973,0.5055994354188442,0.62258,0.6449,0.1431569755077362,0.17713718116283417,0.18252,0.1978,0.00698,0.0089,0.4528,0.4818,0.30226,0.324,428.5465160292022,4387.245487976074
2023-08-22 11:45:25.863172,45.0,0.5316643755959005,0.5076351515948773,0.62028,0.6359,0.13888007402420044,0.17439454793930054,0.18,0.2208,0.00716,0.011,0.44892,0.4765,0.29814,0.3363,427.8752218752491,4399.956094360352
2023-08-22 11:47:26.196336,46.0,0.5244423296986794,0.49961270913481715,0.62272,0.649,0.14768332242965698,0.1783575713634491,0.18496,0.2182,0.00742,0.0073,0.45736,0.4839,0.30672,0.3414,427.46437080539005,4372.471671295166
2023-08-22 11:49:25.770466,47.0,0.5209153803939722,0.523976419866085,0.63096,0.6216,0.15646030008792877,0.14649558067321777,0.1872,0.2019,0.00736,0.0255,0.4625,0.4611,0.30842,0.3116,429.96105310868245,4419.098210144043
2023-08-22 11:51:27.744048,48.0,0.5259278564124691,0.49861573427915573,0.62514,0.6442,0.14863289892673492,0.18287236988544464,0.18162,0.2195,0.0066,0.0112,0.45668,0.4851,0.3021,0.3382,421.81276422617384,4393.107838439942
2023-08-22 11:53:27.372045,49.0,0.5213626904451117,0.5014384642243386,0.62728,0.6397,0.15321019291877747,0.17952194809913635,0.18804,0.2231,0.0079,0.0125,0.46114,0.4853,0.30832,0.3423,429.7282369185467,4396.762969970703
2023-08-22 11:55:27.687785,50.0,0.5196630918249792,0.49969029277563093,0.63208,0.6352,0.15783002972602844,0.1787450611591339,0.18864,0.2369,0.00762,0.0123,0.46414,0.4829,0.30964,0.3525,427.65083772308975,4394.253115844726
2023-08-22 11:57:28.748368,51.0,0.5193033405408567,0.4965382911264896,0.63106,0.6555,0.15624716877937317,0.18943659961223602,0.18954,0.2155,0.0077,0.0133,0.46516,0.4901,0.30896,0.3339,425.6856252709214,4415.052884674073
2023-08-22 11:59:30.028242,52.0,0.5189605755161266,0.49983653277158735,0.63402,0.6419,0.1551448106765747,0.1952032446861267,0.19018,0.231,0.00812,0.0131,0.4634,0.4973,0.31112,0.3483,424.03130153733855,4389.0605766296385
2023-08-22 12:01:30.845807,53.0,0.5239696277647602,0.5099996462464332,0.62586,0.6292,0.15043006837368011,0.15928354859352112,0.18698,0.2243,0.00752,0.0171,0.4584,0.4687,0.30498,0.3306,425.800600947166,4419.99411239624
2023-08-22 12:03:31.029747,54.0,0.5204551613756588,0.4954753562808037,0.62954,0.6509,0.15416908264160156,0.19017177820205688,0.1908,0.2183,0.0073,0.0103,0.46044,0.4926,0.30958,0.3404,428.0654901776995,4415.14767074585
2023-08-22 12:05:32.411750,55.0,0.5167201924688962,0.5014422215521336,0.6344,0.6348,0.15785501897335052,0.179438516497612,0.19168,0.226,0.00774,0.0146,0.46508,0.4859,0.31244,0.3399,423.7343989780971,4407.095236968994
2023-08-22 12:07:32.322200,56.0,0.5179726558984542,0.493890543282032,0.62968,0.6497,0.1574663519859314,0.19162584841251373,0.19202,0.2303,0.00768,0.0133,0.46564,0.4939,0.31278,0.348,428.6738404254524,4384.285241699219
2023-08-22 12:09:32.491055,57.0,0.5177976654804483,0.49883727803826333,0.63464,0.6373,0.16121722757816315,0.18856817483901978,0.19036,0.2417,0.00804,0.0148,0.46878,0.4925,0.31446,0.3571,427.55348252276985,4406.343257904053
2023-08-22 12:11:32.507300,58.0,0.5145857486189628,0.49986635372042654,0.6373,0.6493,0.16350172460079193,0.18782591819763184,0.19346,0.2234,0.0079,0.0135,0.46894,0.4919,0.31434,0.341,428.74370481530013,4404.687546539307
2023-08-22 12:13:32.990101,59.0,0.5163625898409863,0.4920781299471855,0.6332,0.6563,0.1594344973564148,0.18988443911075592,0.19302,0.2157,0.00798,0.0111,0.4677,0.4919,0.31578,0.3372,427.1550867508869,4417.029590606689
2023-08-22 12:15:33.167837,60.0,0.5146044649335803,0.4935289561748505,0.63684,0.6443,0.1636560559272766,0.18664994835853577,0.19356,0.2236,0.0083,0.0155,0.47032,0.491,0.31486,0.3451,427.9280215672084,4411.27099609375
2023-08-22 12:17:33.381523,61.0,0.5131642955298327,0.5102274671196938,0.63646,0.6267,0.16035965085029602,0.16123803704977036,0.195,0.2257,0.0082,0.0105,0.46824,0.473,0.31654,0.3369,428.98182592586596,4394.126271820069
2023-08-22 12:19:35.078123,62.0,0.5118670531985711,0.5121842116117478,0.6391,0.6227,0.16918592154979706,0.1712881326675415,0.1975,0.2212,0.0084,0.008,0.47412,0.4807,0.31904,0.34,422.60532939677336,4406.245816040039
2023-08-22 12:21:35.630542,63.0,0.5117161781812201,0.4897858306765556,0.63958,0.6583,0.16678638756275177,0.2007845789194107,0.19606,0.2299,0.00862,0.0118,0.47212,0.5009,0.32042,0.3506,426.499245546302,4401.878569793701
2023-08-22 12:23:36.138055,64.0,0.5115461448321537,0.49171230420470236,0.63882,0.6553,0.16696478426456451,0.18935729563236237,0.19676,0.2181,0.00802,0.0118,0.47178,0.4918,0.31946,0.3359,427.1646537002252,4380.851167297364
2023-08-22 12:25:36.994564,65.0,0.5108900603895284,0.5032954126596451,0.63932,0.6421,0.16854006052017212,0.16996246576309204,0.2009,0.2076,0.00828,0.0125,0.47396,0.4742,0.32208,0.3277,425.63684704838965,4418.485652923584
2023-08-22 12:27:37.173007,66.0,0.5130781367117044,0.5036820448935032,0.63776,0.639,0.16748809814453125,0.17992085218429565,0.1961,0.218,0.00872,0.0102,0.47272,0.4846,0.3185,0.3386,427.8918414991729,4388.671759796142
2023-08-22 12:29:38.271086,67.0,0.5081111741613369,0.4842957928776741,0.6429,0.6668,0.17024646699428558,0.19981499016284943,0.19976,0.2193,0.0089,0.0102,0.47576,0.5004,0.32296,0.3442,425.49902997698103,4391.315112304687
2023-08-22 12:31:39.161270,68.0,0.511619359254837,0.48553543239831926,0.63872,0.6558,0.16748282313346863,0.19982391595840454,0.1958,0.2304,0.00904,0.0152,0.47382,0.5003,0.32074,0.3469,424.98782239641463,4406.692811584473
2023-08-22 12:33:39.587580,69.0,0.5074138536441083,0.4920539416372776,0.64106,0.658,0.16986727714538574,0.195475772023201,0.20056,0.2195,0.00878,0.0124,0.47608,0.4967,0.32352,0.3402,426.661000932966,4414.4789962768555
2023-08-22 12:35:40.873333,70.0,0.5062333083882624,0.4870232068002224,0.6431,0.6551,0.17575857043266296,0.20557251572608948,0.2004,0.2395,0.00948,0.0121,0.4799,0.5039,0.32436,0.3573,424.66008579487703,4416.536497497558
