,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:26.748353,1.0,0.953925293014974,0.9532489314675331,0.11944,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.2237953653141,3684.7708084106443
2023-08-22 10:16:07.718041,2.0,0.9529665370984953,0.9515166610479355,0.14732,0.2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.8844736838828,3627.5329441070558
2023-08-22 10:16:48.738893,3.0,0.9504498425795107,0.946567377448082,0.1803,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1377.6007088641732,3639.5034130096437
2023-08-22 10:17:29.696887,4.0,0.9421728727768879,0.9317063674330711,0.19968,0.2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.922854209433,3623.830856323242
2023-08-22 10:18:11.044819,5.0,0.9234975758863955,0.9076569855213166,0.21664,0.2343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.1307420535964,3629.4529922485353
2023-08-22 10:18:52.157559,6.0,0.901431741459029,0.8880006566643714,0.22472,0.2337,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0011,0.0,0.0,1374.104336018465,3618.1504322052
2023-08-22 10:19:33.384336,7.0,0.885507123506799,0.8766665101051331,0.2347,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.00494,0.0193,0.0,0.0,1373.20715230825,3625.5058296203615
2023-08-22 10:20:14.556272,8.0,0.8760858792431501,0.865981724858284,0.2416,0.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.01284,0.0333,0.00052,0.0056,1370.815581496881,3636.0199863433836
2023-08-22 10:20:55.745403,9.0,0.8686886080065552,0.8558341860771179,0.25338,0.2706,0.0,0.0,0.0,0.0,0.0,0.0,0.01628,0.0266,0.00108,0.0037,1371.8620241126237,3633.601717758179
2023-08-22 10:21:36.866125,10.0,0.8624413588217327,0.8506330758333206,0.26128,0.2807,0.0,0.0,2e-05,0.0,0.0,0.0,0.0185,0.0311,0.00246,0.0057,1371.8192067048988,3629.5525562286375
