,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:17:16.545559,1.0,0.8788811248175952,0.7900910153985023,0.24594,0.3643,0.0,0.0,0.00088,0.0131,0.0,0.0,0.0431,0.1203,0.00712,0.0347,339.4629751322221,3856.336078262329
2023-08-22 10:19:47.238887,2.0,0.797776746810699,0.7366480633616448,0.34824,0.4304,0.0,0.0,0.00894,0.0196,0.0,0.0,0.13296,0.184,0.03856,0.0652,340.47468045293067,3886.5813533782957
2023-08-22 10:22:17.747858,3.0,0.759070411324501,0.7667912989854813,0.38672,0.3912,0.0,0.0,0.02042,0.0291,0.0,0.0,0.17826,0.1795,0.06614,0.0769,340.5387868686598,3892.062078475952
2023-08-22 10:24:48.329487,4.0,0.7425751515797206,0.6907794624567032,0.40812,0.4552,0.0,0.0,0.0287,0.0606,2e-05,0.0,0.2013,0.2724,0.08338,0.1436,340.52895203415227,3885.31939163208
2023-08-22 10:27:18.855314,5.0,0.7180183301774823,0.670674566924572,0.42856,0.4807,0.0,0.0,0.0412,0.0745,6e-05,0.0001,0.2314,0.2999,0.10748,0.1583,340.6052093116605,3907.9889991760256
2023-08-22 10:29:49.427877,6.0,0.6999429725870794,0.6670299425721169,0.44764,0.4791,0.0,0.0,0.05166,0.1083,0.0001,0.0009,0.25306,0.3153,0.12354,0.1925,340.66336117958537,3902.508502960205
2023-08-22 10:32:20.220353,7.0,0.6852500748877622,0.6327482238411903,0.46034,0.5092,0.0,0.010425001382827759,0.06094,0.1137,0.00018,0.0009,0.27106,0.3425,0.13822,0.2122,340.5876546587263,3896.9523151397707
2023-08-22 10:34:50.944937,8.0,0.6818821551848431,0.6200482830405235,0.46618,0.5228,0.0,0.02506539225578308,0.06398,0.115,0.00034,0.0018,0.27708,0.3429,0.1425,0.2057,340.6062642700818,3875.1313598632814
2023-08-22 10:37:21.625344,9.0,0.6690795896004658,0.6736220225691796,0.4814,0.4669,0.0,0.0,0.07284,0.1177,0.00036,0.0076,0.29264,0.3072,0.15528,0.1935,340.51028983447014,3883.381298828125
2023-08-22 10:39:52.122173,10.0,0.6605483074577487,0.610198937356472,0.488,0.5397,0.0,0.04712989926338196,0.0792,0.128,0.00048,0.002,0.30062,0.3661,0.16484,0.2342,340.8432723064812,3907.9599487304686
