,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-09-04 12:38:48.360212,1.0,0.868734287972353,0.8017659083008766,0.26776,0.3575,0.0,0.0,0.00228,0.0124,0.0,0.0,0.06326,0.1581,0.01342,0.0547,80.87111018628491,3912.1807119369505
2023-09-04 12:49:10.846566,2.0,0.8096955956853166,0.7662439867854118,0.3482,0.4059,0.0,0.0,0.0078,0.0241,0.0,0.0,0.13068,0.1851,0.03556,0.0713,81.12896288657674,3929.9309255599974
2023-09-04 12:59:33.600167,3.0,0.7868712611344396,0.7443157121539116,0.37428,0.4191,0.0,0.0,0.01492,0.0377,0.0,0.0,0.16496,0.2375,0.05518,0.1002,81.10161260682709,3902.1946823120115
2023-09-04 13:09:56.303926,4.0,0.7660921431925832,0.7284655153751374,0.3957,0.4361,0.0,0.0,0.02358,0.0512,2e-05,0.0003,0.19296,0.2479,0.07618,0.1169,81.09600671456785,3902.471307373047
2023-09-04 13:20:19.294579,5.0,0.7453871852889353,0.695104007422924,0.41578,0.4657,0.0,0.0,0.03314,0.0569,8e-05,0.0002,0.2208,0.2735,0.0927,0.1382,81.08130357703384,3855.6398078918455
2023-09-04 13:30:42.009660,6.0,0.7234496048518589,0.6727720081806183,0.4356,0.487,0.0,0.0,0.04506,0.074,0.00016,0.0003,0.2403,0.2924,0.1129,0.1584,81.10129311619973,3870.2007459640504
2023-09-04 13:41:05.356804,7.0,0.7018181526539277,0.6633079096674919,0.45688,0.4957,0.0,0.0,0.05608,0.0829,0.00064,0.0016,0.26606,0.3015,0.13224,0.1665,81.03150059252368,3855.4281354904174
2023-09-04 13:51:28.665933,8.0,0.6849237254687718,0.6341678872704506,0.47214,0.5191,0.0,0.019038856029510498,0.06786,0.1031,0.00078,0.001,0.28448,0.341,0.14752,0.2057,81.03602066818549,3913.0916858673095
2023-09-04 14:01:52.109257,9.0,0.6708270949976785,0.6347403928637505,0.48554,0.5109,0.0,0.012445807456970215,0.0812,0.1451,0.00108,0.0052,0.30026,0.3567,0.1656,0.2381,81.05589486141594,3922.39559135437
2023-09-04 14:12:15.435774,10.0,0.6585705173867089,0.6128775164484978,0.49482,0.539,0.0,0.04476627707481384,0.08968,0.128,0.00182,0.0028,0.31418,0.3649,0.17622,0.2256,81.02785340133978,3929.154999923706
2023-09-04 14:22:38.270247,11.0,0.6455377078786189,0.5895316109061242,0.5118,0.551,0.012687057256698608,0.0653696060180664,0.10178,0.1567,0.00246,0.0049,0.33026,0.3944,0.19444,0.2589,81.0959076784095,3897.4933059692385
2023-09-04 14:33:01.129186,12.0,0.6365185696251539,0.5837074592709541,0.51498,0.5664,0.01667991280555725,0.08193731307983398,0.10852,0.1528,0.0031,0.0071,0.3419,0.4029,0.20136,0.2581,81.06680722139319,3925.2610980987547
2023-09-04 14:43:24.181762,13.0,0.6305381184329792,0.5853832125663757,0.52186,0.557,0.024483144283294678,0.07677215337753296,0.1133,0.1864,0.00364,0.0124,0.34718,0.4086,0.20846,0.2852,81.06238781676001,3933.9508253097533
2023-09-04 14:53:46.652450,14.0,0.6231234666644311,0.5705717340111732,0.52964,0.5732,0.03398674726486206,0.08709341287612915,0.11578,0.1652,0.00376,0.0084,0.35616,0.4108,0.21306,0.2739,81.1419954883809,3929.227945137024
2023-09-04 15:04:09.515997,15.0,0.6222832707726226,0.562167552113533,0.52992,0.5833,0.0352802574634552,0.10657036304473877,0.12346,0.1834,0.0043,0.0089,0.36076,0.4243,0.22126,0.2881,81.10100070797667,3912.7019466400147
2023-09-04 15:14:32.229572,16.0,0.6089269534057501,0.5570911571383477,0.54272,0.5849,0.04868847131729126,0.10826864838600159,0.12668,0.1859,0.00426,0.0113,0.37128,0.4282,0.22796,0.2911,81.09495594063584,3926.598953819275
2023-09-04 15:24:55.255028,17.0,0.6057021481042005,0.5552840366959572,0.54604,0.5899,0.052913516759872437,0.11157459020614624,0.13072,0.1799,0.00442,0.0071,0.3785,0.433,0.23332,0.2915,81.11226810727801,3917.794854927063
2023-09-04 15:35:18.043833,18.0,0.5990881557975497,0.5938094764947891,0.55344,0.5422,0.05980771780014038,0.06706231832504272,0.13264,0.1859,0.00454,0.0084,0.38192,0.4101,0.23776,0.2913,81.09163697885008,3926.5112867355347
2023-09-04 15:45:40.560284,19.0,0.5967043589572517,0.5806968659162521,0.5537,0.5667,0.061622679233551025,0.08502423763275146,0.13888,0.1809,0.00496,0.0118,0.38558,0.4118,0.2427,0.2849,81.11735442219948,3927.5732120513917
2023-09-04 15:56:03.151353,20.0,0.5907861465702251,0.5527617841958999,0.56258,0.592,0.07122865319252014,0.11903643608093262,0.14324,0.1953,0.00502,0.0147,0.39024,0.4368,0.24546,0.3027,81.1346695471783,3929.3477432250975
2023-09-04 16:06:26.242876,21.0,0.585719748115053,0.5484673246741295,0.56684,0.6023,0.07690995931625366,0.1253114640712738,0.14646,0.1866,0.00552,0.0106,0.39556,0.4337,0.25036,0.2946,81.10057684839988,3932.5095788955687
2023-09-04 16:16:48.857428,22.0,0.5779360636156432,0.5546824552118779,0.57372,0.5844,0.08603781461715698,0.10536438226699829,0.14834,0.1828,0.00494,0.0177,0.40244,0.4255,0.25838,0.2833,81.1354230374706,3847.6498836517335
2023-09-04 16:27:11.701385,23.0,0.5755288397171059,0.5473901964724064,0.5736,0.5999,0.08935478329658508,0.12211140990257263,0.15216,0.1987,0.0056,0.0135,0.41072,0.4449,0.2633,0.306,81.10729122161865,3927.5077169418337
2023-09-04 16:37:34.535947,24.0,0.57159773032276,0.5432554751634597,0.5808,0.6041,0.0934714525938034,0.13319039344787598,0.15442,0.2045,0.00612,0.0127,0.41122,0.4482,0.2656,0.306,81.06484870521389,3925.707204055786
2023-09-04 16:47:57.325273,25.0,0.5716742499142277,0.5257321983575821,0.58018,0.6118,0.09284418821334839,0.15543770790100098,0.15582,0.2237,0.00572,0.0143,0.4104,0.4679,0.26606,0.3317,81.09850685937064,3908.382291984558
