,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-09-14 00:18:18.394197,1.0,0.9539014256122161,0.940314170718193,0.1245,0.1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0,1134.6860983712334,2836.1598983764648
2023-09-14 00:19:07.625935,2.0,0.9346388414198038,0.9234875559806823,0.15154,0.1676,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.0008,0.0,0.0,1127.2415191494688,2826.951062011719
2023-09-14 00:19:56.924734,3.0,0.9226254352501461,0.9107281759381294,0.17162,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.00186,0.0039,0.0,0.0,1123.3854181717852,2822.365467834473
2023-09-14 00:20:46.393491,4.0,0.9121478701732597,0.8981781899929047,0.19114,0.2187,0.0,0.0,0.0,0.0,0.0,0.0,0.00274,0.0082,0.0,0.0,1123.3065755415937,2831.251931762695
2023-09-14 00:21:35.829671,5.0,0.9014521134751183,0.8850523173809052,0.21042,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.00574,0.0152,0.0,0.0,1123.2355565440898,2829.5192558288572
2023-09-14 00:22:25.124033,6.0,0.8910032662810111,0.8737960562109948,0.23062,0.2651,0.0,0.0,0.0,0.0,0.0,0.0,0.01196,0.0269,8e-05,0.0006,1123.128519330706,2826.418398284912
2023-09-14 00:23:14.538251,7.0,0.8813028472418688,0.8646504685282708,0.24818,0.2821,0.0,0.0,0.0,0.0,0.0,0.0,0.02182,0.0412,0.00044,0.0027,1123.0255397095973,2831.666929626465
2023-09-14 00:24:04.145199,8.0,0.874653734722916,0.8563408359885216,0.26284,0.297,0.0,0.0,0.0,0.0002,0.0,0.0,0.02924,0.0558,0.00106,0.0058,1125.3007136753627,2807.3510665893555
2023-09-14 00:24:53.487984,9.0,0.8674053303441223,0.8482215449213981,0.27422,0.311,0.0,0.0,0.0,0.0006,0.0,0.0,0.03978,0.0676,0.00284,0.01,1123.7793937994509,2829.384656524658
2023-09-14 00:25:42.949398,10.0,0.8608833344615235,0.8402938932180405,0.28438,0.3196,0.0,0.0,0.0001,0.0014,0.0,0.0,0.0491,0.079,0.0044,0.0128,1124.2271677912497,2829.4662422180177
2023-09-14 00:26:32.634783,11.0,0.8543216671262469,0.8326327860355377,0.29406,0.3284,0.0,0.0,0.0003,0.0023,0.0,0.0,0.05498,0.0872,0.00702,0.0172,1123.182342373595,2830.1332405090334
2023-09-14 00:27:22.120150,12.0,0.8484477412943937,0.8254118770360946,0.30382,0.3356,0.0,0.0,0.00032,0.0026,0.0,0.0,0.06326,0.0999,0.00848,0.0214,1125.7539292160345,2827.7250068664553
2023-09-14 00:28:11.565502,13.0,0.8422625198656198,0.8198431059718132,0.31154,0.3406,0.0,0.0,0.00066,0.0039,0.0,0.0,0.07058,0.1094,0.00962,0.0247,1124.3280380404726,2828.431687164307
2023-09-14 00:29:01.333465,14.0,0.8368105818422473,0.8133391588926315,0.31348,0.3456,0.0,0.0,0.00082,0.0039,0.0,0.0,0.07602,0.1186,0.012,0.0268,1123.879324153978,2835.965077972412
2023-09-14 00:29:50.810607,15.0,0.8319112290533222,0.8067437008023262,0.31932,0.3547,0.0,0.0,0.00098,0.0045,0.0,0.0,0.08242,0.1218,0.01366,0.0307,1125.4521517850915,2769.596933746338
2023-09-14 00:30:40.305374,16.0,0.8283229178311874,0.8017285466194153,0.32466,0.3587,0.0,0.0,0.00104,0.0052,0.0,0.0,0.08656,0.1306,0.01464,0.0345,1124.5329663802167,2793.20489654541
2023-09-14 00:31:29.896601,17.0,0.8223262167706782,0.7991100832819938,0.33082,0.3637,0.0,0.0,0.00172,0.0083,0.0,0.0,0.09364,0.1374,0.0173,0.0391,1125.0053918021065,2827.816904449463
2023-09-14 00:32:19.221657,18.0,0.8194751319836597,0.7939157322049141,0.33656,0.3703,0.0,0.0,0.00194,0.0078,0.0,0.0,0.09798,0.1416,0.01762,0.0391,1125.0700931159818,2821.2878288269044
