,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-09-18 10:28:57.072683,1.0,0.9519521332516963,0.9400702521204949,0.12556,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0001,0.0,0.0,1142.515992145149,2835.240712738037
2023-09-18 10:29:45.869888,2.0,0.9349532528799407,0.9258233115077019,0.15114,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0004,0.0,0.0,1138.7622272725007,2836.9743949890135
2023-09-18 10:30:34.984129,3.0,0.9248439973714401,0.9150559887290001,0.17048,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.00102,0.0031,0.0,0.0,1137.5044389062998,2831.9075634002684
2023-09-18 10:31:24.092069,4.0,0.9157082709122677,0.9040312513709068,0.19094,0.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.00242,0.0065,0.0,0.0,1136.7568417763223,2823.529718017578
2023-09-18 10:32:13.036491,5.0,0.9050583301150069,0.8912490755319595,0.21188,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.00362,0.0117,0.0,0.0,1136.7809381290358,2819.3193237304686
2023-09-18 10:33:02.098507,6.0,0.894086668685991,0.878326416015625,0.2336,0.2611,0.0,0.0,0.0,0.0,0.0,0.0,0.00822,0.0225,4e-05,0.0,1137.0321983804508,2827.215444946289
2023-09-18 10:33:51.018676,7.0,0.8826391000528725,0.8661588579416275,0.25442,0.2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0378,0.0002,0.0018,1137.6580878277214,2828.7882759094236
2023-09-18 10:34:40.074880,8.0,0.8727947461361788,0.8548605784773826,0.26858,0.3052,0.0,0.0,2e-05,0.0,0.0,0.0,0.0275,0.0552,0.00068,0.0053,1137.9318378993444,2812.292162704468
2023-09-18 10:35:29.157653,9.0,0.8645143080122617,0.845016571879387,0.28274,0.3147,0.0,0.0,4e-05,0.0,0.0,0.0,0.0386,0.0715,0.00184,0.009,1138.4238518695443,2827.925403213501
2023-09-18 10:36:18.279020,10.0,0.8561378145704464,0.834948718547821,0.29352,0.3296,0.0,0.0,4e-05,0.0006,0.0,0.0,0.04818,0.0849,0.00354,0.0138,1137.6444889769261,2828.175485610962
2023-09-18 10:37:07.285300,11.0,0.8485018282520528,0.8279279693961143,0.30382,0.3345,0.0,0.0,0.00012,0.0023,0.0,0.0,0.0578,0.0971,0.0059,0.0205,1138.6982393848652,2818.6418266296387
2023-09-18 10:37:56.331029,12.0,0.8424741108806766,0.8220595881342888,0.30624,0.3419,0.0,0.0,0.00032,0.003,0.0,0.0,0.06638,0.109,0.00848,0.0254,1138.605066182662,2830.011251831055
2023-09-18 10:38:45.428554,13.0,0.8369380551941541,0.8147190123796463,0.31414,0.3453,0.0,0.0,0.0004,0.004,0.0,0.0,0.07288,0.1164,0.0104,0.0275,1138.4372628659619,2831.120558929443
2023-09-18 10:39:34.406244,14.0,0.8322153033650651,0.8101451933383942,0.31848,0.3509,0.0,0.0,0.00072,0.0047,0.0,0.0,0.08062,0.1201,0.01294,0.0275,1138.5602696477151,2823.864974975586
2023-09-18 10:40:23.624021,15.0,0.8287194307361331,0.8059243977069854,0.3238,0.3516,0.0,0.0,0.0011,0.006,0.0,0.0,0.08472,0.1305,0.0135,0.035,1138.7099341567682,2817.5524826049805
2023-09-18 10:41:12.415596,16.0,0.8237428403630549,0.8010600715875625,0.32802,0.3562,0.0,0.0,0.0012,0.0074,0.0,0.0,0.09032,0.1344,0.0154,0.0373,1138.5943337265326,2833.305595397949
2023-09-18 10:42:01.517656,17.0,0.8212596208465343,0.7996077328920365,0.33032,0.3564,0.0,0.0,0.0014,0.0086,0.0,0.0,0.09308,0.1397,0.01716,0.0431,1139.0702255404726,2824.4645133972167
2023-09-18 10:42:50.316961,18.0,0.8188032015245787,0.7928342938423156,0.33394,0.3666,0.0,0.0,0.0017,0.0081,0.0,0.0,0.0983,0.1451,0.0181,0.0416,1139.1840631134655,2828.4041709899902
2023-09-18 10:43:39.378453,19.0,0.8144207079799808,0.7914587259292603,0.33808,0.3658,0.0,0.0,0.00194,0.0095,0.0,0.0,0.10386,0.1497,0.01992,0.0443,1139.039531162807,2818.385754776001
2023-09-18 10:44:28.367405,20.0,0.8109380006790161,0.7868399292230606,0.3406,0.3727,0.0,0.0,0.00244,0.0096,0.0,0.0,0.1094,0.149,0.0216,0.0431,1138.9988429789641,2827.792723083496
2023-09-18 10:45:17.568462,21.0,0.8092636237947308,0.784202155470848,0.34528,0.3731,0.0,0.0,0.00252,0.0118,0.0,0.0,0.11076,0.1573,0.02112,0.0479,1138.7712346291055,2829.3623699188233
2023-09-18 10:46:06.822916,22.0,0.8061017169027912,0.7813428312540054,0.34966,0.3746,0.0,0.0,0.00268,0.0121,0.0,0.0,0.11432,0.1615,0.02294,0.0539,1139.182703057114,2820.6600326538087
2023-09-18 10:46:55.541763,23.0,0.8033603365932193,0.7779504850506782,0.35382,0.3779,0.0,0.0,0.00298,0.013,0.0,0.0,0.11966,0.1629,0.02454,0.0529,1139.8033535237214,2829.964385986328
2023-09-18 10:47:44.500907,24.0,0.8004092793075406,0.7752732619643211,0.35576,0.3826,0.0,0.0,0.00356,0.0134,0.0,0.0,0.1203,0.1648,0.02602,0.0547,1140.0805997264629,2832.1592247009276
2023-09-18 10:48:33.439493,25.0,0.7990484289368804,0.7746424078941345,0.35814,0.3804,0.0,0.0,0.0035,0.0143,0.0,0.0,0.1213,0.1707,0.02612,0.059,1139.3954191402513,2825.236235046387
2023-09-18 10:49:22.397118,26.0,0.7964990640781364,0.7723870947957039,0.35788,0.3842,0.0,0.0,0.00394,0.0169,0.0,0.0,0.12658,0.1771,0.0278,0.0635,1139.8487263893594,2823.0238357543944
2023-09-18 10:50:11.353289,27.0,0.7933540398977241,0.7684764355421067,0.3635,0.3896,0.0,0.0,0.0042,0.0149,0.0,0.0,0.12904,0.1785,0.02896,0.0622,1139.1554391822037,2829.064510345459
