,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:17:09.252651,1.0,0.9081476671355111,0.8453060135245323,0.21468,0.3023,0.0,0.0,0.0,0.0,0.0,0.0,0.01006,0.0647,0.0001,0.0032,463.7842796481386,439.1511486053467
2023-08-22 10:19:22.036996,2.0,0.8477128367034756,0.8115128606557847,0.29484,0.3486,0.0,0.0,0.00042,0.0018,0.0,0.0,0.06256,0.1109,0.0069,0.0238,459.6254998031928,438.2796661376953
2023-08-22 10:21:34.688615,3.0,0.8264734945735153,0.7974496230483055,0.32254,0.3655,0.0,0.0,0.002,0.0103,0.0,0.0,0.09218,0.1304,0.0177,0.0377,459.73333639028124,438.86713180541994
2023-08-22 10:23:47.311074,4.0,0.8081668140936871,0.7760112717747688,0.34524,0.3865,0.0,0.0,0.00446,0.0088,0.0,0.0,0.11774,0.1419,0.0286,0.0373,459.781663466473,439.23115463256835
2023-08-22 10:26:00.058799,5.0,0.8003846051133409,0.7584792479872704,0.35066,0.4024,0.0,0.0,0.0064,0.0177,0.0,0.0,0.12814,0.1743,0.03472,0.0642,459.88712287435726,439.24517555236815
2023-08-22 10:28:12.797016,6.0,0.783290181841169,0.74140764772892,0.36822,0.4203,0.0,0.0,0.00906,0.0214,0.0,0.0,0.1462,0.2028,0.0453,0.0753,459.8906886042381,438.73633613586424
2023-08-22 10:30:25.305263,7.0,0.7759413001488666,0.7526323065161705,0.37478,0.4123,0.0,0.0,0.0137,0.0162,0.0,0.0,0.1595,0.2018,0.05376,0.0704,460.24396740660376,439.672172164917
2023-08-22 10:32:37.872478,8.0,0.7623802207562388,0.7456702262163162,0.39066,0.4103,0.0,0.0,0.01616,0.0394,0.0,0.0,0.17336,0.2161,0.06014,0.0955,460.31487889192545,438.95791816711426
2023-08-22 10:34:50.464993,9.0,0.7517834579458043,0.7270408719778061,0.39638,0.4248,0.0,0.0,0.02132,0.0407,0.0,0.0,0.18822,0.2464,0.07338,0.1147,460.25282240887077,439.148787689209
2023-08-22 10:37:02.978414,10.0,0.7485342272082154,0.6987516269087791,0.4007,0.4612,0.0,0.0,0.02156,0.0412,0.0,0.0,0.19114,0.2465,0.07426,0.116,460.31729896701114,439.4600063323975
2023-08-22 10:39:15.950280,11.0,0.7366461270317739,0.6942772150039673,0.41306,0.4617,0.0,0.0,0.02706,0.0494,2e-05,0.0001,0.20206,0.2633,0.08238,0.1264,460.35137830461775,439.49021606445314
2023-08-22 10:41:28.559660,12.0,0.7272202713148934,0.688515593111515,0.42326,0.466,0.0,0.0,0.0294,0.0563,0.0,0.0001,0.21208,0.2827,0.08914,0.1409,460.3352156658562,438.9860252380371
2023-08-22 10:43:41.098593,13.0,0.7253674022397216,0.6960888341069221,0.42352,0.4521,0.0,0.0,0.03274,0.0598,4e-05,0.0,0.2136,0.2595,0.09222,0.1281,460.7408345280861,438.79715728759766
2023-08-22 10:45:53.605869,14.0,0.7202693908190241,0.6881080627441406,0.42704,0.4619,0.0,0.0,0.03604,0.0669,4e-05,0.0001,0.22418,0.2707,0.09944,0.1412,460.5192143187231,439.3153324127197
2023-08-22 10:48:06.097331,15.0,0.7143873794346439,0.685442815721035,0.43252,0.4623,0.0,0.0,0.03816,0.0659,6e-05,0.0001,0.23118,0.2738,0.10434,0.1391,460.55933310061084,439.2627918243408
2023-08-22 10:50:18.753060,16.0,0.7068850282503634,0.6630384236574173,0.44208,0.4869,0.0,0.0,0.04144,0.0803,4e-05,0.0003,0.23698,0.303,0.10682,0.1677,460.6390579379335,439.00312728881835
2023-08-22 10:52:31.372859,17.0,0.7105770123248197,0.6797702208161354,0.43756,0.476,0.0,0.0,0.0434,0.0506,2e-05,0.0001,0.23698,0.2757,0.11016,0.1373,460.2862509124133,439.1800910949707
2023-08-22 10:54:43.904773,18.0,0.7075280255200912,0.6833887085318565,0.4401,0.4708,0.0,0.0,0.04406,0.0676,0.0001,0.0001,0.24064,0.2819,0.11312,0.1506,460.7446805992905,439.21704177856446
2023-08-22 10:56:56.229127,19.0,0.7055668228743027,0.6689325094223022,0.44188,0.4852,0.0,0.0,0.04546,0.0778,0.00016,0.0008,0.2456,0.2962,0.1153,0.1623,461.08120198152506,439.76557006835935
2023-08-22 10:59:08.684821,20.0,0.6946737565556351,0.655566368997097,0.45128,0.494,0.0,0.0,0.0488,0.0825,0.00022,0.0004,0.2534,0.3244,0.12244,0.177,460.85139146143075,439.58036613464355
2023-08-22 11:01:21.304805,21.0,0.6972140408292109,0.6696772202849388,0.44852,0.4728,0.0,0.0,0.05074,0.0896,0.00012,0.0001,0.25612,0.3103,0.12504,0.18,460.5643129932637,439.74174003601075
2023-08-22 11:03:33.920443,22.0,0.6899313789849378,0.6475372180342674,0.45784,0.4959,0.0,0.0,0.05288,0.0856,0.00016,0.0,0.25988,0.315,0.12862,0.1814,460.8014145675971,439.0656562805176
2023-08-22 11:05:46.403996,23.0,0.6890112678615414,0.6584136217832566,0.45906,0.4917,0.0,0.0,0.05436,0.0909,0.00022,0.0,0.26328,0.3159,0.13082,0.1809,460.79592545178474,439.02561378479004
2023-08-22 11:07:58.859829,24.0,0.6830254382624918,0.6458820849657059,0.46742,0.5012,0.0,0.0010181665420532227,0.05698,0.0895,0.00018,0.0015,0.26748,0.3179,0.13424,0.1765,460.8741781273667,439.47142486572267
2023-08-22 11:10:11.384329,25.0,0.6833005258623435,0.6561743453145027,0.4655,0.4954,0.0,0.0,0.05912,0.0948,0.00028,0.0009,0.27088,0.3188,0.1375,0.189,460.5726997219786,439.6444061279297
2023-08-22 11:12:23.817821,26.0,0.6813806383585443,0.6422682791948319,0.46768,0.5011,0.0,0.0012224912643432617,0.05872,0.0843,0.00016,0.0003,0.27198,0.3092,0.1368,0.1737,461.20612490907007,439.2729911804199
2023-08-22 11:14:36.228968,27.0,0.6731082933897875,0.6488921403884887,0.4763,0.4955,0.0,0.0,0.06272,0.1007,0.00024,0.0011,0.28102,0.326,0.14466,0.1924,460.98208283404915,439.86135215759276
2023-08-22 11:16:48.461179,28.0,0.6743978423123457,0.6209793224930763,0.47402,0.5271,0.0,0.029771476984024048,0.06344,0.1045,0.00024,0.0009,0.28038,0.3458,0.14612,0.2052,461.16389130572884,439.48599433898926
