,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:08.597284,1.0,0.8965096726101272,0.8340249881148338,0.2577,0.3334,0.0,0.0,0.0,0.0002,0.0,0.0,0.0141,0.0652,0.00132,0.009,2599.5506610481107,9999.45506439209
2023-08-22 10:15:30.184496,2.0,0.8332056479186428,0.7954169854521751,0.3239,0.3741,0.0,0.0,0.001,0.0072,0.0,0.0,0.05938,0.1165,0.00884,0.0247,2580.592777330048,10046.362099456786
2023-08-22 10:15:51.859027,3.0,0.8069531321525574,0.7745101377367973,0.3545,0.3888,0.0,0.0,0.0025,0.0109,0.0,0.0,0.0977,0.1493,0.01622,0.0394,2568.6341691309094,10055.583399200439
2023-08-22 10:16:13.825257,4.0,0.789766001762176,0.752905759215355,0.37198,0.4141,0.0,0.0,0.00376,0.0125,0.0,0.0,0.11916,0.1903,0.02326,0.0573,2554.7079410163724,9935.590297698975
2023-08-22 10:16:35.652438,5.0,0.7762095897781606,0.7426801010966301,0.38786,0.4215,0.0,0.0,0.00524,0.0142,0.0,0.0,0.13848,0.202,0.03182,0.0634,2554.176610674177,9856.283069610596
2023-08-22 10:16:57.372320,6.0,0.7660976587509623,0.7297554194927216,0.39844,0.4291,0.0,0.0,0.0069,0.0197,0.0,0.0,0.15322,0.2188,0.03874,0.0808,2556.5542379885305,9911.068632507324
2023-08-22 10:17:19.266450,7.0,0.7598676581163796,0.7225958630442619,0.40262,0.4453,0.0,0.0,0.00874,0.0203,0.0,0.0,0.16324,0.2251,0.04446,0.0829,2550.679957954251,10091.85983352661
2023-08-22 10:17:41.115038,8.0,0.7506320762390993,0.7161952182650566,0.41304,0.4398,0.0,0.0,0.01168,0.0247,0.0,0.0,0.175,0.2363,0.05264,0.0941,2554.504166427924,10208.030108642579
2023-08-22 10:18:03.015396,9.0,0.7445918975435958,0.7095918700098991,0.4192,0.4522,0.0,0.0,0.0134,0.0363,0.0,0.0,0.18144,0.2375,0.05898,0.1042,2552.82567471874,10080.756559753418
2023-08-22 10:18:24.843699,10.0,0.7391381294143443,0.7055405646562576,0.42322,0.4596,0.0,0.0,0.0159,0.0305,0.0,0.0,0.1918,0.2444,0.06496,0.1023,2558.2902600035377,9986.898780059815
2023-08-22 10:18:47.081197,11.0,0.7341337620603795,0.7008427798748016,0.42794,0.4628,0.0,0.0,0.01652,0.0424,0.0,0.0,0.19696,0.2537,0.06852,0.1151,2551.9952538937937,10140.226664733887
2023-08-22 10:19:09.076849,12.0,0.7278973828164899,0.6939709335565567,0.43224,0.4693,0.0,0.0,0.02012,0.048,2e-05,0.0,0.20532,0.2631,0.07368,0.1237,2552.7586623211296,10136.42483215332
2023-08-22 10:19:31.045326,13.0,0.72788952929633,0.6889009773731232,0.4341,0.474,0.0,0.0,0.02056,0.0504,0.0,0.0,0.2055,0.2684,0.07464,0.1297,2553.6006939946387,9730.281455230714
2023-08-22 10:19:52.807612,14.0,0.720841071131278,0.6830713227391243,0.43946,0.4789,0.0,0.0,0.02396,0.0499,2e-05,0.0,0.21458,0.2697,0.08188,0.1312,2551.397658523248,10153.639617919922
2023-08-22 10:20:14.780207,15.0,0.7187211209413956,0.6861496075987816,0.4432,0.4809,0.0,0.0,0.02596,0.0459,4e-05,0.0,0.21852,0.2637,0.08372,0.1227,2553.553052941147,9949.67929534912
2023-08-22 10:20:36.639603,16.0,0.7117090015387049,0.6753703847527504,0.45156,0.4858,0.0,0.0,0.0297,0.0568,2e-05,0.0002,0.2284,0.2787,0.09128,0.1431,2552.982606381786,10150.182975006104
2023-08-22 10:20:58.712947,17.0,0.7109194054287307,0.6774123534560204,0.4518,0.4929,0.0,0.0,0.02974,0.0417,4e-05,0.0,0.22908,0.2719,0.09244,0.1295,2558.621098343207,9850.322863006591
2023-08-22 10:21:20.532357,18.0,0.7079267021344633,0.6712316334247589,0.4523,0.4863,0.0,0.0,0.03086,0.0715,2e-05,0.0,0.23348,0.2888,0.09442,0.1519,2558.5015205850405,10012.391577911378
2023-08-22 10:21:42.352296,19.0,0.7034478838346443,0.670287762582302,0.4591,0.4918,0.0,0.0,0.0344,0.0655,2e-05,0.0001,0.23994,0.2884,0.1019,0.1484,2553.99787575858,10248.183029937743
2023-08-22 10:22:04.224757,20.0,0.7007208040782383,0.6627240166068077,0.46196,0.495,0.0,0.0,0.03548,0.0736,6e-05,0.0,0.2403,0.3007,0.10302,0.16,2555.1694659797513,9854.097216033935
2023-08-22 10:22:26.449068,21.0,0.6998608781366932,0.6596288472414017,0.46448,0.5061,0.0,0.005088448524475098,0.0351,0.0604,2e-05,0.0001,0.24184,0.2907,0.10358,0.148,2557.9384436315418,9928.87329788208
2023-08-22 10:22:48.364453,22.0,0.6932835840449041,0.6634548842906952,0.47186,0.4909,0.0,0.0,0.03878,0.0773,4e-05,0.0,0.25308,0.2977,0.10974,0.1643,2556.9726805395007,9896.798764038085
2023-08-22 10:23:10.313410,23.0,0.6930699816771916,0.658104944229126,0.47084,0.4997,0.0,0.0,0.03952,0.0769,4e-05,0.0,0.2519,0.3069,0.1106,0.1705,2556.420210390675,9990.721747589112
2023-08-22 10:23:32.119347,24.0,0.6897841609862386,0.6546374663710595,0.47256,0.5038,0.0,0.004649609327316284,0.04102,0.0752,2e-05,0.0004,0.25706,0.3089,0.11548,0.1636,2561.5702938157683,10058.789051055908
2023-08-22 10:23:54.104436,25.0,0.6880758362157005,0.6540199235081673,0.47594,0.5063,0.0,0.005423933267593384,0.04242,0.0813,2e-05,0.0002,0.25668,0.3074,0.11606,0.1642,2562.028215057996,9915.428182983398
2023-08-22 10:24:15.944598,26.0,0.6828876466167216,0.6430718883872032,0.47894,0.5115,0.0,0.01271018385887146,0.0455,0.0949,6e-05,0.0002,0.26456,0.3287,0.11994,0.1895,2552.5826741432656,10198.728308105468
2023-08-22 10:24:37.785459,27.0,0.682613236259441,0.6427896961569786,0.48436,0.5123,0.0,0.012012332677841187,0.04538,0.0931,8e-05,0.0003,0.26422,0.3226,0.12146,0.1811,2563.440462384905,9942.994583892822
2023-08-22 10:24:59.546407,28.0,0.6817128037919804,0.6472671285271645,0.48196,0.5056,0.0,0.0056761205196380615,0.04586,0.0889,0.00012,0.0002,0.26356,0.315,0.12254,0.179,2554.138453892299,9888.688204193115
2023-08-22 10:25:21.558113,29.0,0.6777854656078377,0.638320016860962,0.48496,0.5154,0.0,0.015858054161071777,0.04912,0.0991,0.0001,0.0008,0.2711,0.3283,0.12762,0.1935,2558.8332754641165,10075.876949310303
2023-08-22 10:25:43.519880,30.0,0.6765345578290978,0.6408608093857765,0.4859,0.5139,0.0,0.013857811689376831,0.04994,0.0909,0.00014,0.0001,0.27362,0.3245,0.12824,0.1871,2559.906758055395,9894.753490447998
2023-08-22 10:26:05.713283,31.0,0.6745096405549925,0.634138859808445,0.48784,0.5224,0.0,0.022070124745368958,0.04958,0.0967,0.00012,0.0007,0.27364,0.3318,0.12886,0.1892,2554.623519352504,9860.702059936524
2023-08-22 10:26:27.389183,32.0,0.6724173210713328,0.639475341141224,0.49018,0.5195,0.0,0.020105332136154175,0.05176,0.0877,0.00014,0.0001,0.27924,0.3237,0.13206,0.1789,2558.3826504142917,9995.62064743042
2023-08-22 10:26:49.212896,33.0,0.6687194504299943,0.6344392746686935,0.49482,0.5225,0.0,0.021380513906478882,0.05394,0.0965,0.00016,0.0002,0.28344,0.328,0.13694,0.186,2561.237249413315,9775.01845626831
2023-08-22 10:27:10.936415,34.0,0.6683824986827617,0.6301911056041718,0.49628,0.5221,0.0,0.022698700428009033,0.05282,0.1044,0.00018,0.0007,0.28142,0.3439,0.13664,0.204,2560.2109259780573,10304.161344146729
2023-08-22 10:27:32.715526,35.0,0.6670423584933184,0.6309079229831696,0.49726,0.5211,0.0,0.01995214819908142,0.0559,0.0994,0.00034,0.0005,0.2889,0.335,0.1412,0.1958,2556.8276351617305,10079.863542175293
2023-08-22 10:27:54.552670,36.0,0.6651710372190086,0.6303993985056877,0.49838,0.5263,0.0,0.026283249258995056,0.057,0.0989,0.0003,0.0003,0.28584,0.3365,0.14108,0.1899,2560.489581672513,9883.043072509765
2023-08-22 10:28:16.330270,37.0,0.6623777689374223,0.6211730673909187,0.49972,0.5344,0.0,0.03306964039802551,0.05828,0.1069,0.00022,0.0014,0.29158,0.3481,0.14326,0.2035,2564.629191651636,9890.309630584718
2023-08-22 10:28:38.240159,38.0,0.6611318992716926,0.6212950795888901,0.50076,0.5327,0.0007406473159790039,0.03202025592327118,0.062,0.1071,0.00022,0.0008,0.29242,0.3468,0.1474,0.2041,2561.620365376375,9948.910408782958
2023-08-22 10:29:00.060014,39.0,0.6602571275161238,0.6227547004818916,0.50342,0.5272,0.002781495451927185,0.02874094247817993,0.06188,0.1068,0.0004,0.0007,0.29194,0.346,0.1494,0.2076,2564.113358322455,10013.979196929931
2023-08-22 10:29:22.035336,40.0,0.6595434421787456,0.6361206725239754,0.50486,0.5174,0.00479927659034729,0.018304556608200073,0.06276,0.0994,0.00018,0.0012,0.29598,0.3334,0.14822,0.1926,2559.0703746250697,9979.827445983887
2023-08-22 10:29:43.856095,41.0,0.6577256154649112,0.6327128395438194,0.50622,0.5197,0.0055505335330963135,0.021422594785690308,0.06196,0.1045,0.00032,0.0009,0.29688,0.3354,0.14936,0.1998,2566.463411759357,10185.440296936034
2023-08-22 10:30:05.872055,42.0,0.6563915287961766,0.6226591110229492,0.5071,0.5309,0.00703844428062439,0.03377145528793335,0.06384,0.1037,0.00028,0.0012,0.29818,0.3447,0.15082,0.203,2558.736909438153,10061.410594177247
2023-08-22 10:30:27.768581,43.0,0.6551311998342981,0.6256524428725243,0.50804,0.5297,0.006499499082565308,0.028672337532043457,0.06706,0.1049,0.00052,0.0012,0.29826,0.342,0.15432,0.1985,2561.900027995207,10261.21128768921
2023-08-22 10:30:49.646330,44.0,0.6543391702734694,0.6237843662500382,0.51056,0.5286,0.009432017803192139,0.03036394715309143,0.06602,0.1075,0.00036,0.0019,0.29974,0.3467,0.1532,0.2069,2558.377439382125,9817.594818878173
2023-08-22 10:31:11.422741,45.0,0.6537818832665073,0.6246436581015586,0.50882,0.531,0.007893502712249756,0.029188573360443115,0.06744,0.0997,0.00036,0.0009,0.30204,0.3413,0.15546,0.1951,2564.1833533462213,9935.26178741455
2023-08-22 10:31:33.311429,46.0,0.6500309264781524,0.615270522236824,0.51194,0.5316,0.01093389093875885,0.03689107298851013,0.06852,0.1179,0.00038,0.0016,0.3082,0.353,0.15888,0.2178,2560.0740807980906,10200.93697128296
2023-08-22 10:31:55.124755,47.0,0.6497392532776813,0.6107296630740165,0.51334,0.538,0.011254563927650452,0.0429501086473465,0.069,0.1217,0.0003,0.0013,0.30706,0.363,0.15834,0.2252,2558.769026931451,9901.954584503173
2023-08-22 10:32:17.031750,48.0,0.6503162627317467,0.6118871480226517,0.51138,0.5392,0.010569170117378235,0.04553109407424927,0.06902,0.1149,0.00038,0.0014,0.3055,0.3563,0.15886,0.2155,2557.5547633268397,9825.79927444458
2023-08-22 10:32:38.969121,49.0,0.6507771282779927,0.6214096292853355,0.5153,0.5299,0.01380068063735962,0.02867881953716278,0.06796,0.1171,0.00046,0.002,0.3068,0.3524,0.15752,0.2114,2561.442666190011,9815.335556030273
2023-08-22 10:33:00.940597,50.0,0.6453534641436168,0.6127030402421951,0.51622,0.539,0.014471590518951416,0.04123812913894653,0.0736,0.1181,0.00062,0.0018,0.31504,0.3568,0.16502,0.2169,2561.197300190828,10124.304074096679
2023-08-22 10:33:23.015222,51.0,0.6474831003923806,0.6120426595211029,0.51544,0.5397,0.013622686266899109,0.041900455951690674,0.0731,0.1161,0.00056,0.0021,0.30936,0.3634,0.16396,0.2211,2560.621678722148,9969.196002960205
2023-08-22 10:33:44.778657,52.0,0.643551130075844,0.6083004534244537,0.5195,0.5391,0.0176277756690979,0.041675835847854614,0.0748,0.1302,0.00076,0.0032,0.31582,0.3651,0.16564,0.2271,2567.838163570482,10004.038028717041
2023-08-22 10:34:06.639721,53.0,0.6454663243220777,0.6144252687692642,0.5195,0.5391,0.017563030123710632,0.03731805086135864,0.07372,0.1236,0.0005,0.0024,0.31202,0.3599,0.16504,0.2206,2568.430833777603,9789.54336090088
2023-08-22 10:34:28.457110,54.0,0.6447362157763267,0.6098918139934539,0.51846,0.5326,0.01663537323474884,0.04004015028476715,0.07438,0.137,0.00042,0.0023,0.31468,0.3703,0.16472,0.2424,2557.08778085514,9840.788247680664
2023-08-22 10:34:50.246848,55.0,0.6408169354711261,0.6051187366247177,0.51954,0.549,0.018669769167900085,0.05137258768081665,0.07826,0.1209,0.00074,0.0017,0.31858,0.3604,0.1695,0.2216,2563.617058423101,10225.512349700928
2023-08-22 10:35:12.058422,56.0,0.6412001553238654,0.6017725974321365,0.52216,0.5463,0.02029639482498169,0.051194608211517334,0.07614,0.1261,0.0005,0.0014,0.3167,0.3735,0.17034,0.2319,2557.94558451127,10006.992835998535
2023-08-22 10:35:34.092096,57.0,0.6394960372423639,0.60335793197155,0.5236,0.5431,0.02183486521244049,0.04749035835266113,0.07644,0.1274,0.00052,0.0018,0.3202,0.3706,0.16928,0.2335,2556.5284616898516,9934.743636322022
2023-08-22 10:35:56.059173,58.0,0.6379199541953146,0.6039476871490479,0.52296,0.5473,0.02183152735233307,0.0496126264333725,0.07962,0.1289,0.00058,0.0023,0.32462,0.3685,0.17264,0.2325,2565.1675078722897,9926.020303344727
2023-08-22 10:36:17.836922,59.0,0.6377363986506754,0.5978883907198906,0.526,0.5543,0.023530974984169006,0.05793125927448273,0.08084,0.1294,0.00094,0.0018,0.3216,0.3739,0.17182,0.2327,2563.2979250538106,9894.678119659424
2023-08-22 10:36:39.687962,60.0,0.6348077226050046,0.6011966869235039,0.52788,0.5491,0.026116937398910522,0.054206714034080505,0.0829,0.1266,0.00064,0.0028,0.32668,0.3703,0.17748,0.2296,2559.461012392628,9973.241499328613
2023-08-22 10:37:01.784836,61.0,0.6352457963690465,0.6010223254561424,0.52632,0.5496,0.024030596017837524,0.05352333188056946,0.08208,0.1229,0.00072,0.0013,0.3254,0.3703,0.17498,0.2263,2559.9142983884226,10209.656362915039
2023-08-22 10:37:23.624207,62.0,0.6333383838741147,0.5953054994344711,0.52928,0.5551,0.028139635920524597,0.06071937084197998,0.08304,0.1385,0.00068,0.0031,0.3297,0.379,0.17896,0.241,2560.16987267319,10131.756740570068
2023-08-22 10:37:45.452403,63.0,0.6339581575320692,0.5988163441419602,0.5282,0.5495,0.027609243988990784,0.05350330471992493,0.0829,0.1406,0.00064,0.0029,0.32836,0.3802,0.18024,0.2428,2568.0666496121153,9858.410858154297
2023-08-22 10:38:07.287476,64.0,0.6352851357387037,0.6008074343204498,0.52712,0.5472,0.02624562382698059,0.0549885630607605,0.08148,0.1421,0.0007,0.0064,0.3265,0.3836,0.17574,0.2482,2562.322028023856,10235.694351196289
2023-08-22 10:38:29.117961,65.0,0.6322004615652318,0.5961802273988723,0.53078,0.5502,0.029082104563713074,0.055228233337402344,0.08392,0.1444,0.00092,0.0033,0.33096,0.3828,0.18062,0.2477,2559.9931758958464,9945.23881149292
2023-08-22 10:38:51.112270,66.0,0.6307200886765305,0.604222971200943,0.5295,0.5463,0.029311850666999817,0.045423537492752075,0.08456,0.1298,0.00098,0.0032,0.3327,0.3658,0.18246,0.2325,2563.581417472995,10167.638150024413
2023-08-22 10:39:12.963861,67.0,0.6320653344903674,0.5958424925804138,0.52994,0.5514,0.02729763090610504,0.05689269304275513,0.08518,0.1414,0.00096,0.003,0.33058,0.3817,0.18088,0.2469,2567.1630144703145,10098.934509277344
2023-08-22 10:39:34.743337,68.0,0.6306485165746845,0.5967078447341919,0.53208,0.5526,0.031109735369682312,0.05890631675720215,0.08568,0.1345,0.00082,0.0025,0.3335,0.3755,0.18072,0.2393,2563.318229519591,10254.72420654297
2023-08-22 10:39:56.744337,69.0,0.6305651485311742,0.5900963038206101,0.53252,0.5545,0.030690282583236694,0.059530362486839294,0.0873,0.1427,0.0008,0.0027,0.33068,0.387,0.18316,0.2487,2566.5968504925163,10122.694076538086
2023-08-22 10:40:18.620096,70.0,0.6310740396076319,0.5923655599355697,0.5323,0.5567,0.029543936252593994,0.062880739569664,0.08336,0.1437,0.00078,0.0034,0.33072,0.3845,0.17986,0.2476,2559.2611582230547,9947.163381958007
2023-08-22 10:40:40.496162,71.0,0.628407605752653,0.5895645186305046,0.53414,0.5583,0.032858237624168396,0.06577025353908539,0.08542,0.1449,0.00096,0.0039,0.3365,0.3897,0.18512,0.2519,2552.403353009905,10024.776725006104
2023-08-22 10:41:02.296790,72.0,0.6267565412788975,0.5885443851351738,0.5353,0.5541,0.03421887755393982,0.06150329113006592,0.0887,0.1516,0.0008,0.0044,0.33702,0.3908,0.18428,0.2568,2564.386821980379,10096.41544189453
2023-08-22 10:41:24.234063,73.0,0.6257811973289568,0.589451490342617,0.53552,0.5553,0.03360220789909363,0.0663464218378067,0.08948,0.1476,0.00102,0.0028,0.33796,0.3852,0.18616,0.257,2559.2794388751595,9961.15115737915
2023-08-22 10:41:46.053710,74.0,0.6241305610355066,0.5902842998504638,0.53648,0.5608,0.03546029329299927,0.06711134314537048,0.09272,0.1369,0.00104,0.0031,0.34252,0.3862,0.19116,0.2461,2565.3236347120637,9956.960829925538
2023-08-22 10:42:08.054595,75.0,0.6237505406749492,0.5933286175131798,0.53814,0.5514,0.03594043850898743,0.06381519138813019,0.091,0.1495,0.001,0.0064,0.3398,0.3857,0.1895,0.2474,2559.919921875,10197.24443359375
2023-08-22 10:42:29.809204,76.0,0.6215401431735681,0.5859827980399132,0.53846,0.5596,0.03800523281097412,0.06977236270904541,0.09304,0.1478,0.00102,0.0036,0.34618,0.3909,0.194,0.2526,2568.3749490854693,9919.830825805664
2023-08-22 10:42:51.474285,77.0,0.6251896288321943,0.5872753962874413,0.5391,0.5527,0.03717544674873352,0.06301453709602356,0.09112,0.165,0.00116,0.0046,0.3388,0.3949,0.18724,0.2689,2560.7106390194017,10224.376446533202
2023-08-22 10:43:13.219618,78.0,0.623137395296778,0.5879276260733605,0.53672,0.5637,0.03599053621292114,0.06879591941833496,0.09352,0.1422,0.00106,0.0034,0.34214,0.3869,0.1941,0.2453,2560.211776266293,9848.974691009522
2023-08-22 10:43:35.196866,79.0,0.6225840275993153,0.5880204871296882,0.53886,0.5604,0.037474051117897034,0.06799329817295074,0.09262,0.1429,0.00104,0.0028,0.34174,0.388,0.18934,0.2529,2561.344772650271,9990.36785812378
2023-08-22 10:43:57.214664,80.0,0.6232844466457561,0.5864804461598396,0.53894,0.5655,0.03821916878223419,0.07481622695922852,0.09196,0.1424,0.001,0.0035,0.3402,0.3907,0.18944,0.2499,2562.727223766093,9901.347036743164
2023-08-22 10:44:19.152362,81.0,0.6229531336195615,0.5995300516486168,0.538,0.5474,0.036952704191207886,0.05609185993671417,0.09292,0.1445,0.0011,0.0025,0.34184,0.3855,0.19022,0.2508,2563.4274675018933,9979.270527648925
2023-08-22 10:44:41.075683,82.0,0.6213511487050932,0.5917287543416023,0.53852,0.561,0.03736056387424469,0.0639202892780304,0.0948,0.1337,0.00118,0.0027,0.34498,0.3784,0.19474,0.2366,2560.6871856378048,10242.077983093262
2023-08-22 10:45:02.968528,83.0,0.6208415387236342,0.5914713427424431,0.54058,0.5587,0.0403149276971817,0.06573769450187683,0.09328,0.1412,0.00116,0.003,0.34568,0.3875,0.19358,0.2478,2562.3662630976464,10001.83667602539
