,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:06.864409,1.0,0.953996872415348,0.953468780219555,0.10802,0.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.239920479911,8172.818550109863
2023-08-22 10:15:26.868389,2.0,0.9533821982996804,0.9525630861520767,0.14562,0.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2944.726661682129,8208.361267089844
2023-08-22 10:15:46.944304,3.0,0.9523408364276497,0.9507663980126381,0.16946,0.1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929.1643447875977,8107.84733505249
2023-08-22 10:16:07.468467,4.0,0.9500155339435655,0.9468402162194252,0.18018,0.1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2912.4238905614734,8155.797706985473
2023-08-22 10:16:27.705741,5.0,0.9443551873674199,0.9374957710504532,0.18686,0.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.183646688656,8067.690773010254
2023-08-22 10:16:48.154290,6.0,0.9321419277361461,0.9198771566152573,0.19364,0.2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903.7446153601823,8127.791505813599
2023-08-22 10:17:08.367694,7.0,0.913108020716784,0.8979420349001884,0.21826,0.2363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0102394259707,8102.257682037353
2023-08-22 10:17:28.586152,8.0,0.8941855850268383,0.8812838554382324,0.2264,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.00134,0.0136,0.0,0.0,2897.2591160365514,8144.415299606323
2023-08-22 10:17:48.901622,9.0,0.8815357949660749,0.8692093148827553,0.23654,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.01196,0.021,0.0,0.0,2898.4345226677096,8046.147673416138
2023-08-22 10:18:09.153284,10.0,0.8731133396528206,0.8614316135644913,0.24692,0.2668,0.0,0.0,0.0,0.0,0.0,0.0,0.01756,0.0306,0.00024,0.0013,2899.706287617586,8112.11586265564
2023-08-22 10:18:29.765111,11.0,0.8660377832699795,0.8531252339482307,0.25728,0.2774,0.0,0.0,0.0,0.0,0.0,0.0,0.02208,0.0341,0.00102,0.0028,2902.2860692861127,7987.006044006348
2023-08-22 10:18:50.111115,12.0,0.859335550240108,0.8459293663501739,0.26928,0.2885,0.0,0.0,0.0,0.0,0.0,0.0,0.02432,0.0405,0.00184,0.0063,2903.929698243433,8104.545742034912
2023-08-22 10:19:10.404683,13.0,0.852920087320464,0.839016743004322,0.2788,0.2997,0.0,0.0,2e-05,0.0,0.0,0.0,0.02936,0.0479,0.00278,0.0084,2900.9322814941406,8088.911325836181
2023-08-22 10:19:30.613662,14.0,0.8461058830120125,0.8311837077140808,0.28704,0.3101,0.0,0.0,0.00018,0.0005,0.0,0.0,0.03706,0.0612,0.00564,0.0132,2899.8962737102897,7939.646500396729
2023-08-22 10:19:50.817303,15.0,0.8405632358424517,0.8242622539401054,0.29468,0.3126,0.0,0.0,0.00076,0.0014,0.0,0.0,0.04772,0.0713,0.00788,0.016,2907.4210245560625,8162.519802093506
2023-08-22 10:20:11.096500,16.0,0.8335520561252322,0.8161921307444573,0.30258,0.3272,0.0,0.0,0.00116,0.005,0.0,0.0,0.05834,0.087,0.00976,0.0203,2905.5143694196427,8027.723821640015
2023-08-22 10:20:31.547323,17.0,0.8266398334989742,0.8101724237203598,0.31226,0.3324,0.0,0.0,0.00248,0.0099,0.0,0.0,0.06824,0.0986,0.01244,0.0275,2905.66316908233,8022.218693542481
2023-08-22 10:20:51.673067,18.0,0.8198800929346863,0.7995208814740181,0.3206,0.3454,0.0,0.0,0.00338,0.0077,0.0,0.0,0.07724,0.1173,0.015,0.0286,2911.8636779785156,7911.969579315186
2023-08-22 10:21:11.961296,19.0,0.8127286063165081,0.7917569816112519,0.32918,0.3559,0.0,0.0,0.0042,0.0104,0.0,0.0,0.08842,0.1266,0.01872,0.0371,2908.349371773856,8086.4464485168455
2023-08-22 10:21:32.251002,20.0,0.8041784866731994,0.7822245806455612,0.34014,0.3696,0.0,0.0,0.0056,0.0108,0.0,0.0,0.10172,0.1384,0.02408,0.0402,2912.3113004723373,8059.23366279602
2023-08-22 10:21:52.500311,21.0,0.7999365335824539,0.7746054515242576,0.34284,0.3763,0.0,0.0,0.0063,0.0107,0.0,0.0,0.10936,0.1441,0.02794,0.0458,2911.166179267728,8147.924636077881
2023-08-22 10:22:12.844439,22.0,0.7903964191066976,0.7655260384082794,0.35394,0.3843,0.0,0.0,0.00716,0.0166,0.0,0.0,0.11828,0.1569,0.03134,0.0569,2917.90554622728,8107.0044605255125
2023-08-22 10:22:33.081359,23.0,0.7832515522533533,0.7574751168489456,0.3629,0.3931,0.0,0.0,0.00856,0.0154,0.0,0.0,0.1281,0.1625,0.036,0.0558,2918.4846994828204,7952.7824970245365
2023-08-22 10:22:53.250755,24.0,0.7757272756829554,0.7524819388985634,0.37252,0.3952,0.0,0.0,0.00976,0.0209,0.0,0.0,0.13538,0.1875,0.04208,0.0706,2907.9146660006777,8119.925564956665
2023-08-22 10:23:13.391534,25.0,0.769375321816425,0.7430186435580254,0.37386,0.4084,0.0,0.0,0.01326,0.0236,0.0,0.0,0.14852,0.1896,0.04846,0.072,2915.7380536137794,8130.342984390259
2023-08-22 10:23:33.566251,26.0,0.7645315266385371,0.7345318347215652,0.38352,0.4151,0.0,0.0,0.01384,0.0328,0.0,0.0,0.153,0.1977,0.05232,0.0866,2914.84725516183,8093.029239273072
2023-08-22 10:23:53.693538,27.0,0.7562874783666766,0.735262356698513,0.39144,0.415,0.0,0.0,0.01692,0.0342,0.0,0.0,0.1625,0.2084,0.05846,0.0926,2917.3915936217018,7947.600202941894
2023-08-22 10:24:13.795703,28.0,0.7504058665767008,0.7197739690542221,0.3951,0.433,0.0,0.0,0.01828,0.0355,0.0,0.0,0.16966,0.2249,0.06246,0.0988,2914.116305448571,8030.839595413208
2023-08-22 10:24:34.023951,29.0,0.7464638729484714,0.7154077753424645,0.40048,0.4346,0.0,0.0,0.0209,0.0336,0.0,0.0,0.17874,0.2224,0.06754,0.0968,2917.357155624701,7994.300011062622
2023-08-22 10:24:54.197813,30.0,0.7379226581174501,0.7148555442690849,0.40956,0.4421,0.0,0.0,0.02362,0.0474,0.0,0.0001,0.18716,0.2297,0.07234,0.1087,2924.2571607317245,8096.6462455749515
2023-08-22 10:25:14.486881,31.0,0.7333844769365934,0.706989948451519,0.41258,0.4412,0.0,0.0,0.02734,0.0487,0.0,0.0,0.1938,0.242,0.07644,0.1177,2920.1417697205834,8071.454808807373
2023-08-22 10:25:34.626714,32.0,0.7275246472991242,0.699280247092247,0.41914,0.4547,0.0,0.0,0.02952,0.0439,0.0,0.0,0.20324,0.2419,0.08528,0.1116,2920.7958663629024,7978.969354629517
2023-08-22 10:25:54.756505,33.0,0.7231691853732479,0.6959544867277145,0.42328,0.4504,0.0,0.0,0.03116,0.0593,2e-05,0.0001,0.20684,0.2519,0.08712,0.1278,2917.1475040669343,8106.058197021484
2023-08-22 10:26:14.948449,34.0,0.7192762199105048,0.6954977676272392,0.42862,0.4555,0.0,0.0,0.03346,0.057,2e-05,0.0001,0.21574,0.261,0.09246,0.1356,2919.7874161078007,8131.233642959594
2023-08-22 10:26:35.181141,35.0,0.7165572792291641,0.7061127468943595,0.43218,0.4452,0.0,0.0,0.03524,0.0712,0.0,0.001,0.22052,0.2573,0.09528,0.1379,2922.241237095424,8094.802870559693
2023-08-22 10:26:55.240636,36.0,0.7123583132515148,0.6806399136781692,0.43546,0.4686,0.0,0.0,0.03788,0.0579,0.0,0.0,0.22466,0.2721,0.1005,0.1347,2925.012657476931,8097.370763397217
2023-08-22 10:27:15.306942,37.0,0.7076590483894154,0.6757868379354477,0.43876,0.4747,0.0,0.0,0.03904,0.0646,0.0001,0.0001,0.23106,0.2798,0.10352,0.1446,2922.8716103690012,8148.527013015747
2023-08-22 10:27:35.487536,38.0,0.7052464494291617,0.706061965227127,0.43992,0.448,0.0,0.0,0.04204,0.0715,6e-05,0.0009,0.2347,0.2628,0.1085,0.1413,2921.5212279339225,8060.990855789185
2023-08-22 10:27:55.594284,39.0,0.7013105336500673,0.6771450430154801,0.44728,0.4696,0.0,0.0,0.04324,0.0723,8e-05,0.0005,0.2382,0.2817,0.11138,0.1516,2924.318890941386,7966.105028533935
2023-08-22 10:28:15.835360,40.0,0.699637020729026,0.6716907531023025,0.44744,0.4752,0.0,0.0,0.04536,0.0722,4e-05,0.0009,0.24348,0.2813,0.1147,0.1511,2922.0032343961757,8027.918907928467
2023-08-22 10:28:36.376174,41.0,0.6971949098669753,0.6721661746501922,0.4511,0.4696,0.0,0.0,0.04698,0.0879,0.00014,0.0008,0.24622,0.3003,0.11762,0.1752,2922.958577214455,8026.491787719727
2023-08-22 10:28:56.629293,42.0,0.6943150913837005,0.6687992304563523,0.45212,0.4764,0.0,0.0,0.04922,0.0791,0.00012,0.0001,0.24942,0.294,0.12194,0.1593,2924.2832881382533,7960.483912277222
2023-08-22 10:29:16.796731,43.0,0.6929663638679349,0.661209623515606,0.4531,0.4866,0.0,0.0,0.05084,0.0819,0.00014,0.0007,0.25336,0.3005,0.12446,0.164,2919.8179491004166,8043.297133636474
2023-08-22 10:29:36.814754,44.0,0.6897475552193972,0.6566244751214981,0.45868,0.4878,0.0,0.0,0.05354,0.083,0.00014,0.0009,0.2571,0.3041,0.12584,0.168,2925.3611056269433,8113.061429595948
2023-08-22 10:29:56.914824,45.0,0.6888412398343183,0.659609492123127,0.45572,0.4882,0.0,0.0,0.0529,0.0913,0.00018,0.0011,0.25888,0.3157,0.1273,0.1816,2925.242988586426,8022.933537292481
2023-08-22 10:30:17.211674,46.0,0.6849398001724359,0.6562559455633163,0.46156,0.4887,0.0,0.0,0.0574,0.0865,0.00018,0.0008,0.26176,0.3096,0.1327,0.1761,2921.8568772296517,7968.85133934021
2023-08-22 10:30:37.343543,47.0,0.6798912496591101,0.6615623638033867,0.46972,0.482,0.0,0.0,0.05864,0.0949,0.00014,0.0012,0.26782,0.3056,0.13722,0.177,2928.151063568738,8013.943021774292
2023-08-22 10:30:57.449824,48.0,0.6809245244580873,0.6611206710338593,0.4676,0.4845,0.0,0.0,0.05996,0.0815,0.0002,0.0003,0.26712,0.2955,0.13804,0.1605,2928.9690676319356,7928.796984481812
2023-08-22 10:31:17.543717,49.0,0.67925890580732,0.6553477436304093,0.46796,0.4886,0.0,0.0,0.0598,0.0985,0.00022,0.0014,0.26916,0.3142,0.13718,0.1863,2925.0173643462513,8066.978756713867
2023-08-22 10:31:37.606729,50.0,0.678128143354338,0.6575020745396614,0.47174,0.489,0.0,0.0,0.06124,0.0966,0.00022,0.0008,0.27292,0.3135,0.14078,0.1849,2928.117992478974,8057.143376922608
2023-08-22 10:31:58.151839,51.0,0.6741554420821521,0.6415840268135071,0.47398,0.4976,0.0,0.0,0.06364,0.1017,0.00016,0.0007,0.27688,0.3308,0.1445,0.1982,2930.7892817283164,7944.863433456421
2023-08-22 10:32:18.377297,52.0,0.6724944792839945,0.6369051396846771,0.47524,0.5041,0.0,0.004318803548812866,0.0646,0.1017,0.00026,0.0012,0.2782,0.3292,0.14606,0.1964,2930.961388257085,7976.722997283936
2023-08-22 10:32:38.442076,53.0,0.6708407505434386,0.6393883481621743,0.47562,0.506,0.0,0.005929321050643921,0.06658,0.091,0.00026,0.0007,0.27966,0.3206,0.14798,0.1832,2928.632182529994,7989.474642944336
2023-08-22 10:32:58.653634,54.0,0.6671748188685398,0.6357915624976158,0.48152,0.5076,0.0,0.008679777383804321,0.06796,0.0961,0.0003,0.0014,0.2833,0.3214,0.149,0.1862,2927.56691710803,8155.285886764526
2023-08-22 10:33:18.955082,55.0,0.6675248295068741,0.6449210584163666,0.47906,0.5025,0.0,0.002882838249206543,0.0668,0.088,0.00024,0.0006,0.2872,0.3087,0.15082,0.1699,2922.683899392887,8093.497900009155
2023-08-22 10:33:39.015184,56.0,0.6673868052205261,0.6332768961787224,0.47896,0.5135,0.0,0.012211054563522339,0.06934,0.0939,0.00026,0.0007,0.2864,0.3272,0.15288,0.1892,2933.704227369659,8009.985966110229
2023-08-22 10:33:59.130218,57.0,0.6647180346201877,0.6303073853254318,0.48456,0.5083,0.0,0.010987192392349243,0.06976,0.1113,0.0003,0.0009,0.28706,0.3379,0.15282,0.2082,2934.5332048377213,8021.151591491699
2023-08-22 10:34:19.160366,58.0,0.6618583986953813,0.6405333802103996,0.48756,0.5013,0.0,0.0014825761318206787,0.07242,0.1162,0.00032,0.0018,0.29088,0.3433,0.15656,0.2153,2933.995317264479,8077.926309204102
2023-08-22 10:34:39.272747,59.0,0.6617452222473768,0.6379966005682945,0.48482,0.5061,0.0,0.007574528455734253,0.07198,0.1058,0.0004,0.0009,0.2911,0.3343,0.15694,0.1984,2925.3964831293847,8115.880395889282
2023-08-22 10:34:59.298327,60.0,0.6577102207407659,0.6404624789953232,0.4873,0.5067,0.0,0.005668193101882935,0.07552,0.0917,0.00056,0.0009,0.29616,0.3134,0.16126,0.1775,2931.4530007498606,8039.6144943237305
2023-08-22 10:35:19.371825,61.0,0.6596023607618955,0.6223890021443367,0.48812,0.5235,0.0,0.024229437112808228,0.0741,0.111,0.00048,0.0005,0.29574,0.3458,0.16056,0.2105,2920.722356990892,8135.024576568603
2023-08-22 10:35:39.593616,62.0,0.6545052303343403,0.6264298602938652,0.49458,0.5203,0.0,0.01773935556411743,0.07696,0.103,0.00056,0.0009,0.2993,0.3326,0.16306,0.1934,2931.832002445143,8105.728800582886
2023-08-22 10:35:59.859941,63.0,0.6515342927708918,0.6184904590249062,0.49748,0.5257,0.0,0.024609029293060303,0.07828,0.1119,0.00032,0.0029,0.30038,0.3474,0.16532,0.2105,2924.4356955703424,8089.805125045777
2023-08-22 10:36:20.069528,64.0,0.655003261505341,0.6307403549551964,0.49286,0.5108,0.0,0.010465145111083984,0.07806,0.1011,0.00052,0.001,0.30116,0.3225,0.1636,0.1837,2932.4048564677337,8024.612759399414
2023-08-22 10:36:40.116433,65.0,0.6514828411900268,0.622688315808773,0.49758,0.5202,0.0,0.021420717239379883,0.0785,0.1116,0.00048,0.0015,0.3034,0.3424,0.16668,0.2073,2932.6428034256915,8033.869366836548
2023-08-22 10:37:00.298960,66.0,0.6519797064211904,0.6156634241342545,0.49562,0.5256,0.0,0.02832883596420288,0.0803,0.1137,0.00054,0.0008,0.30318,0.3513,0.16652,0.2132,2927.2728111111387,8118.758148193359
2023-08-22 10:37:20.474478,67.0,0.6472997817457938,0.6152916565537453,0.5027,0.5277,0.002368539571762085,0.027804851531982422,0.08256,0.1171,0.00066,0.0014,0.3092,0.3512,0.17108,0.2145,2928.817738591408,7946.9312744140625
2023-08-22 10:37:40.621744,68.0,0.6465667063484386,0.6219203934073448,0.5023,0.5205,0.0020222365856170654,0.022327065467834473,0.08256,0.1131,0.00038,0.0021,0.3097,0.3448,0.17042,0.2063,2931.9772542836713,8138.562057495117
2023-08-22 10:38:00.759425,69.0,0.6458426303401286,0.6359007954597473,0.50446,0.509,0.0042108893394470215,0.009499281644821167,0.0824,0.1128,0.0006,0.0037,0.31086,0.3271,0.1733,0.1963,2932.8005693396744,8018.019229507447
2023-08-22 10:38:20.994204,70.0,0.6442093365654653,0.6169980719685555,0.50458,0.5246,0.004500061273574829,0.023937225341796875,0.08504,0.1144,0.00058,0.0014,0.31288,0.3386,0.17476,0.2062,2936.3850245573085,8111.036433792115
2023-08-22 10:38:41.264130,71.0,0.643974552957379,0.6163279876112938,0.50096,0.5255,0.0009593367576599121,0.027000725269317627,0.08712,0.1081,0.0007,0.0007,0.31202,0.3408,0.17482,0.195,2931.4403216303613,8086.556750106812
2023-08-22 10:39:01.371338,72.0,0.6437978820533169,0.6162440642714501,0.5049,0.5222,0.004826962947845459,0.02316415309906006,0.08412,0.1179,0.00062,0.0024,0.31488,0.3516,0.1755,0.209,2937.6004610645527,8111.615113067627
2023-08-22 10:39:21.361369,73.0,0.6415185092055068,0.6118829071521759,0.5087,0.5292,0.008349210023880005,0.030105382204055786,0.08664,0.119,0.00046,0.0015,0.31504,0.3489,0.17826,0.2115,2934.1140348473373,8096.854713821411
2023-08-22 10:39:41.527958,74.0,0.6417091707794034,0.6030456095933914,0.50652,0.5354,0.006095230579376221,0.040517449378967285,0.08738,0.1262,0.00066,0.0017,0.31694,0.3639,0.17916,0.2256,2935.1475484419843,8142.024394226074
2023-08-22 10:40:01.612879,75.0,0.641913718715006,0.6043052047491073,0.50498,0.5377,0.00518566370010376,0.04412540793418884,0.08828,0.1325,0.0005,0.0016,0.31914,0.3687,0.18006,0.2315,2920.901655391771,8123.836869812012
2023-08-22 10:40:21.731665,76.0,0.637830160406171,0.6039605289697647,0.51056,0.5402,0.009976446628570557,0.04341918230056763,0.09006,0.1261,0.00074,0.0012,0.3215,0.3662,0.18152,0.227,2929.0982402879363,8070.087658691406
2023-08-22 10:40:41.708162,77.0,0.6385341751940397,0.6047951817512512,0.50954,0.5387,0.00895547866821289,0.04344096779823303,0.08918,0.1164,0.00062,0.0012,0.31976,0.3587,0.18052,0.2125,2930.7608781152844,8016.221543121338
2023-08-22 10:41:01.849674,78.0,0.6342733684851198,0.5995466068387032,0.51362,0.5446,0.01295161247253418,0.04673725366592407,0.09028,0.1283,0.00076,0.002,0.32472,0.3675,0.1855,0.2282,2928.0733217511856,8029.171477127075
2023-08-22 10:41:22.019700,79.0,0.6330187834647237,0.5971575230360031,0.5136,0.544,0.01398932933807373,0.0464634895324707,0.09392,0.1271,0.00088,0.0013,0.3267,0.3672,0.1859,0.2294,2937.120856771664,8037.40138092041
2023-08-22 10:41:42.178531,80.0,0.6315421863478057,0.6028610184788704,0.5188,0.5385,0.018511861562728882,0.043056368827819824,0.0939,0.1304,0.00086,0.0016,0.3263,0.3683,0.1854,0.2311,2932.798051950883,8116.113351821899
2023-08-22 10:42:02.373214,81.0,0.6316462490631609,0.6142263382673263,0.51594,0.5223,0.01573321223258972,0.024189919233322144,0.09564,0.1472,0.00084,0.0022,0.32642,0.3765,0.18812,0.2474,2934.00798844318,7989.90785446167
2023-08-22 10:42:22.495335,82.0,0.6313733838650645,0.6088043734431267,0.51838,0.529,0.019049495458602905,0.036606401205062866,0.09674,0.1488,0.00108,0.0019,0.3308,0.3762,0.18856,0.2523,2928.9832877334284,8161.354627990722
2023-08-22 10:42:42.690134,83.0,0.6334156421374302,0.6117895975708961,0.51682,0.5346,0.01504679024219513,0.0371679961681366,0.09448,0.1208,0.00064,0.003,0.32674,0.3512,0.18628,0.2124,2928.422123811683,8110.182336425782
2023-08-22 10:43:02.784653,84.0,0.6279106547637862,0.5954947605729103,0.51936,0.5431,0.019696801900863647,0.04818466305732727,0.09678,0.1394,0.00076,0.0025,0.33176,0.3753,0.19024,0.2404,2929.7478274909818,8109.075519943237
2023-08-22 10:43:22.947206,85.0,0.6304783468343773,0.6003638595342636,0.51766,0.5395,0.017572492361068726,0.04496791958808899,0.09638,0.127,0.00072,0.0019,0.33102,0.361,0.19004,0.2211,2926.9350031638633,8135.299333190918
