,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:17:09.106741,1.0,0.8783235771923649,0.8078378856182098,0.25506,0.3441,0.0,0.0,0.00132,0.0076,0.0,0.0,0.05264,0.1297,0.01008,0.036,355.30793201680086,4552.781426239014
2023-08-22 10:19:33.717282,2.0,0.8129046735714893,0.7670984297990799,0.34174,0.4002,0.0,0.0,0.00844,0.0311,0.0,0.0002,0.12266,0.1911,0.03422,0.0802,354.41153802677076,4559.513416671753
2023-08-22 10:21:58.447959,3.0,0.7831005785538225,0.7348274171352387,0.37552,0.4268,0.0,0.0,0.01398,0.0305,0.0,0.0,0.16092,0.2169,0.05312,0.0951,354.1033295611946,4576.337658309936
2023-08-22 10:24:23.150328,4.0,0.7580643423965999,0.7052205294370651,0.4015,0.4544,0.0,0.0,0.02228,0.0481,0.0,0.0001,0.19428,0.2618,0.07338,0.1231,354.1732410508759,4578.456265258789
2023-08-22 10:26:47.983346,5.0,0.7338098491332969,0.6902720585465432,0.42586,0.4688,0.0,0.0,0.0316,0.0614,8e-05,0.0009,0.22466,0.2718,0.09386,0.1395,354.08955173103175,4575.912773895264
2023-08-22 10:29:12.767020,6.0,0.7156265898018467,0.6743658170104027,0.44346,0.4732,0.0,0.0,0.04154,0.0846,0.00014,0.0014,0.2431,0.3019,0.1116,0.1686,354.4025795605718,4557.879040527344
2023-08-22 10:31:37.688256,7.0,0.6988100005047662,0.6549628287553787,0.46034,0.4943,0.0,0.0,0.05224,0.1074,0.00032,0.0017,0.26324,0.3324,0.12748,0.202,354.1157259259905,4565.447996520996
2023-08-22 10:34:02.108025,8.0,0.6830525705400778,0.6386056810617446,0.47336,0.5075,0.0,0.007988572120666504,0.05988,0.111,0.00042,0.0017,0.27726,0.3369,0.13964,0.204,354.9802369098274,4563.193161010742
2023-08-22 10:36:26.746628,9.0,0.6711514759428647,0.6307443022727967,0.48464,0.5153,0.0,0.017828673124313354,0.06906,0.1065,0.00076,0.0017,0.29244,0.342,0.1544,0.2011,354.4228432324468,4576.485133361816
2023-08-22 10:38:51.405567,10.0,0.6644638554782284,0.6134270295500756,0.49148,0.5337,0.0,0.03606349229812622,0.07648,0.1319,0.001,0.0039,0.29982,0.3625,0.16046,0.2273,354.18846145941285,4558.867572784424
2023-08-22 10:41:16.327089,11.0,0.656526039449536,0.6179716929793357,0.49984,0.5308,0.0,0.03209307789802551,0.0824,0.1186,0.00094,0.002,0.31286,0.3594,0.17126,0.2179,354.07410142859635,4567.486887741089
2023-08-22 10:43:41.207311,12.0,0.6481252184935978,0.6048217386007309,0.50964,0.5352,0.008737757802009583,0.0410095751285553,0.08776,0.1372,0.0012,0.0038,0.31918,0.3757,0.18062,0.2424,354.06459224467375,4586.261827468872
2023-08-22 10:46:06.254256,13.0,0.643359726484941,0.6003626629710197,0.50994,0.5488,0.010330259799957275,0.054160863161087036,0.09266,0.1409,0.00148,0.0033,0.3268,0.3743,0.18486,0.2399,353.8532942168567,4575.694815826416
2023-08-22 10:48:31.086471,14.0,0.636393566824952,0.5919788494706154,0.51912,0.5509,0.020336538553237915,0.06394404172897339,0.0954,0.153,0.00174,0.0044,0.3339,0.3899,0.19024,0.2595,354.2445535465163,4574.6511131286625
2023-08-22 10:50:55.819915,15.0,0.6332868194701721,0.5854369550943375,0.51944,0.551,0.02156856656074524,0.06344977021217346,0.09948,0.1689,0.00192,0.0051,0.3385,0.3998,0.19594,0.268,354.1396929682518,4556.315283584595
2023-08-22 10:53:20.456228,16.0,0.6250479747446216,0.5763035491108894,0.53172,0.5686,0.0325351357460022,0.08270329236984253,0.10616,0.1606,0.00212,0.0054,0.34978,0.4057,0.20172,0.2625,354.2136655535017,4573.032670211792
2023-08-22 10:55:45.304622,17.0,0.6195354552901521,0.5805126756429673,0.53294,0.5635,0.03455990552902222,0.07941362261772156,0.11118,0.171,0.0026,0.0075,0.35412,0.4098,0.209,0.2742,354.12479291643416,4558.620038223266
