,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-09-14 00:16:45.216019,1.0,0.958997089035657,0.9573470816016197,0.10542,0.1128,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0001,0.0,0.0,3634.2318028041295,9554.641604614259
2023-09-14 00:17:01.633845,2.0,0.9520388075283596,0.9506182000041008,0.1217,0.1274,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.0,0.0,3641.1796334714304,9492.149489593507
2023-09-14 00:17:18.012650,3.0,0.9482132521819095,0.9452625051140785,0.1305,0.1442,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,3620.13097801987,9245.399894714355
2023-09-14 00:17:34.285531,4.0,0.9440702437138071,0.9409831002354622,0.1399,0.1523,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.0,3636.3992308013294,9386.119526672363
2023-09-14 00:17:50.988934,5.0,0.9414659157699469,0.9370193973183631,0.14524,0.1591,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0001,0.0,0.0,3632.1492394427864,9441.870841217042
2023-09-14 00:18:07.686759,6.0,0.9382158420523818,0.9332443043589592,0.15282,0.1658,0.0,0.0,0.0,0.0,0.0,0.0,0.00054,0.0011,0.0,0.0,3598.3232087115853,9063.819065093994
2023-09-14 00:18:24.057048,7.0,0.9357954081223936,0.9296268031001091,0.15742,0.1754,0.0,0.0,0.0,0.0,0.0,0.0,0.00066,0.0017,0.0,0.0,3568.1621515702227,9332.350301361084
2023-09-14 00:18:40.789180,8.0,0.9326980609674843,0.9260184392333031,0.1663,0.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.00116,0.0033,0.0,0.0,3583.325927656524,9272.555110168458
2023-09-14 00:18:57.300895,9.0,0.9298169877456159,0.9224118128418922,0.17148,0.1885,0.0,0.0,0.0,0.0,0.0,0.0,0.00216,0.0052,0.0,0.0,3591.264589270767,9371.132670593262
2023-09-14 00:19:13.945810,10.0,0.9265954193412042,0.9187382370233536,0.17764,0.1954,0.0,0.0,0.0,0.0,0.0,0.0,0.00242,0.007,0.0,0.0,3571.0569604367624,9309.41699371338
