,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:00.109095,1.0,0.9000393647928627,0.8107219725847244,0.22112,0.3544,0.0,0.0,0.0001,0.0011,0.0,0.0,0.02038,0.1038,0.00244,0.0135,4714.127098239198,15875.898010253906
2023-08-22 10:15:13.226229,2.0,0.8135891194854464,0.7674424201250076,0.34104,0.4049,0.0,0.0,0.00174,0.0106,0.0,0.0,0.0931,0.1536,0.01642,0.0424,4694.947888432717,16463.789922332762
2023-08-22 10:15:26.376942,3.0,0.7831354557859654,0.7448584005236626,0.3765,0.4128,0.0,0.0,0.00552,0.0157,0.0,0.0,0.13506,0.1937,0.03388,0.0673,4662.5429100503725,16435.557295227052
2023-08-22 10:15:39.205972,4.0,0.7657221707762504,0.7245535656809807,0.39408,0.4393,0.0,0.0,0.00988,0.0197,0.0,0.0,0.16024,0.2116,0.04466,0.0813,4749.657920214595,16898.315602111816
2023-08-22 10:15:51.963453,5.0,0.762190177428479,0.7228052750229835,0.401,0.4387,0.0,0.0,0.01056,0.0281,0.0,0.0,0.16484,0.2291,0.04858,0.0912,4742.309831113232,17133.456496429444
2023-08-22 10:16:05.311854,6.0,0.7452129305017238,0.7125488251447678,0.41434,0.4586,0.0,0.0,0.01566,0.0239,0.0,0.0,0.18482,0.2266,0.06122,0.0862,4645.537633078439,16963.544019317625
2023-08-22 10:16:18.515744,7.0,0.7341196606962048,0.6848571270704269,0.42724,0.4732,0.0,0.0,0.02042,0.047,0.0,0.0,0.19884,0.275,0.07108,0.1292,4712.169756208147,16919.786838531494
2023-08-22 10:16:31.504680,8.0,0.7253346981442704,0.7218038961291313,0.43542,0.436,0.0,0.0,0.02294,0.0499,4e-05,0.0,0.2078,0.2457,0.0799,0.1176,4665.0531424697565,15994.843923187256
2023-08-22 10:16:44.710598,9.0,0.7245977450998462,0.6732723996043205,0.43824,0.491,0.0,0.0,0.02304,0.0593,8e-05,0.0001,0.20924,0.2836,0.07924,0.1417,4694.748567386549,16676.70202140808
2023-08-22 10:16:57.799447,10.0,0.7112001691545758,0.6744040682911873,0.45192,0.4905,0.0,0.0,0.03084,0.0524,2e-05,0.0001,0.22618,0.283,0.09176,0.1351,4741.444129165338,17226.692224121092
2023-08-22 10:17:10.876686,11.0,0.7089560950288967,0.668665173649788,0.4518,0.4915,0.0,0.0,0.03174,0.0625,4e-05,0.0,0.23082,0.2914,0.09696,0.145,4703.531053815569,16623.446487426758
