,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:25.730027,1.0,0.8646412193775177,0.7839791968464851,0.27036,0.3763,0.0,0.0,0.0048,0.0185,0.0,0.0,0.07556,0.1591,0.01834,0.0593,1341.1843034393933,11287.968576049805
2023-08-22 10:16:05.195396,2.0,0.7883384781224387,0.7649784490466118,0.36428,0.3989,0.0,0.0,0.01366,0.0349,0.0,0.0004,0.15448,0.2049,0.05006,0.0871,1349.7262493834203,12034.695003509521
2023-08-22 10:16:48.066762,3.0,0.7481462757806389,0.6943992361426353,0.40928,0.4574,0.0,0.0,0.02846,0.0697,0.0,0.0012,0.20414,0.2796,0.0833,0.1506,1230.0219365334024,11598.738842010498
2023-08-22 10:17:31.036020,4.0,0.7146071627431986,0.6573748365044594,0.43828,0.4888,0.0,0.0,0.04584,0.0816,0.00022,0.0003,0.24198,0.3097,0.11392,0.1712,1231.1433186433753,11328.871419525147
2023-08-22 10:18:13.432377,5.0,0.6924305491301478,0.6649362102150917,0.45988,0.4837,0.0,0.0,0.06064,0.0878,0.0006,0.0012,0.27006,0.3008,0.13856,0.1688,1250.211973229233,11100.5604927063
2023-08-22 10:18:56.829490,6.0,0.6766884457700106,0.6293343380093575,0.47698,0.5071,0.0,0.007936954498291016,0.07054,0.1447,0.001,0.0033,0.2876,0.3618,0.15222,0.2398,1223.5346520093024,11329.6861907959
2023-08-22 10:19:40.017305,7.0,0.6568505989045513,0.607678359746933,0.49312,0.5347,0.0,0.042031943798065186,0.08328,0.1267,0.00116,0.0024,0.30782,0.3613,0.17244,0.2267,1228.7621688842773,10900.09956893921
2023-08-22 10:20:21.692578,8.0,0.6468010903621206,0.6144590482115746,0.50632,0.5295,0.006258726119995117,0.03426910936832428,0.09236,0.1498,0.00164,0.0066,0.32034,0.3736,0.18064,0.245,1269.3400869564134,11837.372409057618
2023-08-22 10:21:01.178039,9.0,0.640148288133193,0.6197297722101212,0.50884,0.5187,0.009008973836898804,0.02237480878829956,0.09908,0.1537,0.0021,0.0079,0.33072,0.3703,0.19238,0.2484,1347.119754635558,11830.346543884278
2023-08-22 10:21:40.938784,10.0,0.6312975567214343,0.5817859634757042,0.51944,0.5617,0.020308971405029297,0.07551604509353638,0.10744,0.1633,0.0026,0.0074,0.33974,0.4005,0.20072,0.2679,1339.5014040421465,11452.03224105835
