,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_margin_at_50,val_margin_at_50,train_robstacc_108,val_robstacc_108,train_robstacc_255,val_robstacc_255,train_robstacc_36,val_robstacc_36,train_robstacc_72,val_robstacc_72,train_throughput,val_throughput
2023-08-22 10:15:00.691228,1.0,0.9534865657285768,0.9477964639663696,0.11754,0.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4546.3879849180885,12417.50519104004
2023-08-22 10:15:14.142385,2.0,0.9428099031959262,0.9355606004595757,0.1407,0.1516,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0002,0.0,0.0,4580.747725506219,12033.865254974366
2023-08-22 10:15:27.859511,3.0,0.9340544972492724,0.9252374634146691,0.15206,0.1763,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.0015,0.0,0.0,4542.004118860984,12163.467806243896
2023-08-22 10:15:41.805922,4.0,0.9258839454577894,0.9154944449663163,0.17552,0.2003,0.0,0.0,0.0,0.0,0.0,0.0,0.00178,0.0051,0.0,0.0,4521.723532462606,11953.906412124634
2023-08-22 10:15:55.598507,5.0,0.9173581974238766,0.9056716889142991,0.19658,0.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.00324,0.0097,0.0,0.0,4503.844996627497,12010.468154907227
2023-08-22 10:16:09.134107,6.0,0.9098315248075797,0.8966147527098656,0.21014,0.2339,0.0,0.0,0.0,0.0,0.0,0.0,0.00694,0.0194,0.0,0.0003,4575.106400703898,12462.683199310302
2023-08-22 10:16:22.829720,7.0,0.9014665171199915,0.8883580386638641,0.224,0.2418,0.0,0.0,0.0,0.0,0.0,0.0,0.01362,0.0296,4e-05,0.001,4537.2529444791835,12148.481125640868
2023-08-22 10:16:36.147193,8.0,0.8952370799925863,0.8813281863927841,0.23248,0.2493,0.0,0.0,0.0,0.0,0.0,0.0,0.01998,0.0355,0.00022,0.0022,4594.79433674715,12383.229773712159
2023-08-22 10:16:49.461884,9.0,0.8892623669638926,0.8743495881557465,0.23882,0.2574,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0437,0.0004,0.0029,4598.4757008455235,12103.18849029541
2023-08-22 10:17:03.280948,10.0,0.8841270971663144,0.8691809177398682,0.24468,0.2633,0.0,0.0,0.0,0.0,0.0,0.0,0.03126,0.0485,0.00108,0.0039,4492.80177634103,11910.947046661377
2023-08-22 10:17:17.076525,11.0,0.8793675011518051,0.8638324499130249,0.25262,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0523,0.0017,0.006,4490.621071328922,12401.84209060669
2023-08-22 10:17:30.441657,12.0,0.8756640957934516,0.8599909231066704,0.25196,0.2719,0.0,0.0,0.0,0.0,0.0,0.0,0.0373,0.0569,0.00222,0.0085,4562.773928895289,12374.274779510499
2023-08-22 10:17:44.272538,13.0,0.8714982943267239,0.8553105071187019,0.25802,0.2776,0.0,0.0,0.0,0.0001,0.0,0.0,0.03984,0.0607,0.00344,0.0102,4434.5813034991825,12695.584260559082
