val_accuracy,val_margin_at_50,val_robstacc_36,val_robstacc_72,val_robstacc_108,val_robstacc_255,epoch,train_throughput,val_throughput,model_id,get_conv,lr,weight_decay,epochs,run_dname,start_time,completed
0.7369,0.369200199842453,0.6148,0.4803,0.3575,0.0533,996.0,405.8022533338897,2815.687064743042,ConvNetL,AOLConv2dDirac,0.0217918320067858,6.857436595945638e-05,996,20230822_081439.28,2023-08-22 08:14:39,True
0.7463,0.348802775144577,0.6145,0.4641,0.3323,0.0352,288.0,148.65578690353706,2806.8264862060546,ConvNetL,BCOP,0.0013018774223523,9.141056074706975e-06,288,20230822_081439.26,2023-08-22 08:14:39,True
0.7685,0.4248230457305908,0.6518,0.5183,0.3772,0.054,2328.0,566.6589094668019,1596.0222053527832,ConvNetL,CPLConv2d,0.053190370245196,0.0002813650147989,2328,20230822_081439.31,2023-08-22 08:14:39,True
,,,,,,,,,ConvNetL,CayleyConv,0.0075165082457066,0.0001642249610594,204,20230822_081439.25,2023-08-22 08:14:39,False
0.7429,0.3721223473548889,0.6231,0.4807,0.351,0.0457,948.0,347.72337092185506,894.4687288284301,ConvNetL,SLLConv2d,0.06452223845619,0.0001920620890844,948,20230822_081439.30,2023-08-22 08:14:39,True
0.7687,0.4308278858661651,0.6539,0.5193,0.3883,0.059,924.0,231.72932511933,302.3321308135986,ConvNetL,SOC,0.022354499401882,0.0001583855105661,924,20230822_081439.24,2023-08-22 08:14:39,True
0.6964,0.2847757041454315,0.5612,0.4216,0.2901,0.0303,1500.0,1314.4521470361826,4824.656348419189,ConvNetL_1x1,AOLConv2dDirac,0.0260400572289686,7.68414427055452e-05,1500,20230822_121201.60,2023-08-22 12:12:01,True
0.6959,0.2743759155273437,0.5576,0.4036,0.274,0.0226,444.0,231.31214869752225,4715.768135070801,ConvNetL_1x1,BCOP,0.0042173333229605,0.0001691635021359,444,20230822_121201.58,2023-08-22 12:12:01,True
0.6097,0.1413742899894714,0.4554,0.3181,0.2023,0.0085,1464.0,682.6965525101642,5352.707315444946,ConvNetL_1x1,BnBConv2dDirac,0.0272546620320345,0.0001519704465266,1464,20230822_121231.61,2023-08-22 12:12:31,True
0.7375,0.361239805817604,0.6113,0.4746,0.344,0.0389,4008.0,1436.1254078612037,3987.4915912628176,ConvNetL_1x1,CPLConv2d,0.0776406022675486,8.547045556991049e-06,4008,20230823_053654.63,2023-08-23 05:36:54,True
